S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,Capacity,Target_x,Target_y
1,1,12,4,11,8,15,5,14,3,9,3,1,6,12,15
2,11,4,8,11,3,0,4,8,11,15,3,10,6,8,2
3,0,9,3,14,11,16,5,8,3,12,0,15,7,12,1
4,6,7,12,14,3,4,2,0,10,12,4,4,5,3,1
5,1,10,1,14,9,4,6,1,5,2,10,1,6,10,4
6,10,13,11,5,8,14,2,9,12,10,8,7,6,7,9
7,9,11,5,15,5,3,7,8,11,2,8,6,5,11,15
8,1,16,12,8,4,8,6,13,0,15,3,13,7,3,16
9,11,13,6,9,0,10,9,4,0,8,3,16,7,10,16
10,3,8,11,5,6,7,4,3,9,2,8,0,5,2,13
11,1,15,3,15,4,9,2,5,10,2,12,10,7,1,4
12,3,16,9,5,10,4,1,5,5,1,12,11,6,10,5
13,5,9,1,8,8,0,0,14,10,12,5,8,5,1,11
14,9,8,11,4,7,4,11,3,7,11,8,1,6,1,13
15,1,16,5,5,2,14,8,5,12,14,12,3,7,7,9
16,7,13,5,5,6,6,8,16,7,6,1,4,6,11,15
17,4,0,3,3,7,11,5,8,10,3,0,14,5,4,11
18,0,11,12,1,8,7,7,4,5,5,9,9,5,10,10
19,11,7,10,9,8,15,3,3,8,5,5,12,5,5,6
20,2,0,10,7,4,0,0,6,3,9,12,11,5,10,8
21,10,6,2,8,8,13,7,3,5,1,1,5,6,8,7
22,10,12,6,7,6,0,11,10,4,10,2,4,6,11,11
23,4,9,2,4,1,6,10,0,9,15,0,3,6,9,8
24,5,0,9,8,4,1,10,4,2,1,4,14,5,3,6
25,7,6,3,3,8,3,4,6,0,1,8,12,6,3,8
26,5,15,4,12,2,16,5,4,6,6,2,10,7,4,6
27,5,13,2,15,10,9,0,16,3,7,6,10,5,7,9
28,4,13,3,10,3,7,3,6,6,2,2,7,5,11,10
29,7,10,12,14,0,2,10,1,9,12,6,6,5,4,8
30,10,3,1,15,6,1,7,7,8,6,1,12,7,4,13
31,2,0,6,14,2,2,5,0,8,5,8,3,6,9,16
32,7,3,4,2,3,1,6,13,7,11,11,13,5,8,11
33,8,13,10,7,5,9,7,2,8,14,1,1,6,3,13
34,6,10,3,4,4,15,4,6,9,4,1,16,6,4,16
35,5,11,12,14,6,9,11,6,1,2,4,10,7,9,12
36,0,12,11,15,0,1,4,16,6,16,6,10,7,12,5
37,1,11,0,2,7,7,11,0,12,2,7,13,6,3,7
38,7,2,8,3,1,5,4,12,2,14,0,4,6,12,2
39,10,8,4,5,7,16,10,2,3,14,2,0,5,12,14
40,7,8,9,6,9,9,0,12,9,5,5,1,5,11,3
41,9,12,4,12,6,15,2,13,1,0,2,10,6,1,7
42,10,4,8,15,12,9,4,10,0,6,7,11,6,8,9
43,8,3,5,14,6,9,0,1,12,3,7,3,7,8,13
44,10,13,9,13,3,16,7,4,8,10,9,8,6,6,13
45,1,3,1,8,5,14,8,13,0,12,0,7,6,2,2
46,12,2,1,8,10,10,6,14,11,13,6,2,7,9,2
47,1,13,3,8,5,3,8,11,1,16,12,5,7,1,8
48,11,15,4,4,8,5,2,5,8,16,7,6,5,7,11
49,3,10,9,4,8,14,9,10,10,14,9,5,6,1,14
50,4,6,4,11,2,6,4,13,11,9,5,8,6,3,15
