S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,2,12,7,5,8,5,5,2,6,3,5,8,4
2,7,11,0,3,2,7,4,11,5,9,5,8,7
3,7,8,9,0,5,8,6,8,4,2,6,2,7
4,7,8,0,6,2,13,8,6,6,0,6,3,8
5,4,6,1,4,8,7,9,9,0,10,5,2,3
6,8,8,5,3,0,3,9,0,5,0,4,2,5
7,3,7,9,7,6,6,3,1,7,9,5,4,7
8,9,9,0,5,8,6,2,2,4,11,4,7,3
9,0,0,6,7,8,12,4,0,3,4,5,5,13
10,4,1,6,9,5,10,6,1,9,11,5,2,2
11,8,2,4,13,9,7,4,5,3,10,6,9,0
12,6,12,4,13,9,7,1,5,2,8,4,5,11
13,4,9,9,5,0,6,4,8,4,7,5,1,9
14,7,13,0,0,0,5,9,10,1,2,6,2,1
15,1,0,2,3,3,1,8,6,1,7,6,6,0
16,3,7,4,13,9,12,2,0,9,13,5,4,6
17,8,0,0,13,5,3,5,2,6,2,5,7,11
18,6,2,5,6,1,9,8,0,9,0,4,9,10
19,8,8,9,2,0,5,1,2,3,9,5,7,0
20,7,11,8,0,1,2,5,7,4,10,5,1,10
21,1,5,7,0,3,3,5,1,3,5,4,2,3
22,2,2,3,3,1,13,4,9,1,2,5,0,3
23,1,7,8,13,5,12,8,9,1,11,5,0,4
24,5,3,3,11,8,13,4,6,2,1,5,5,6
25,3,1,0,7,4,5,9,6,5,12,4,6,5
26,4,5,1,3,0,4,2,10,9,11,5,5,11
27,5,1,7,0,8,9,3,9,5,6,4,0,13
28,4,10,8,9,5,8,7,4,5,7,6,5,12
29,0,12,1,7,4,7,9,7,3,5,4,5,3
30,0,8,1,7,8,6,9,4,3,1,6,5,13
31,6,0,7,0,3,1,6,7,2,9,6,2,12
32,7,8,0,6,3,10,4,6,3,8,4,0,2
33,5,6,3,5,0,11,4,4,3,4,4,7,6
34,4,6,7,7,2,4,3,4,3,2,6,7,1
35,7,1,0,1,5,0,6,12,8,13,6,0,13
36,5,2,4,7,8,0,5,1,4,12,4,3,0
37,0,0,9,6,3,12,1,6,6,9,5,8,9
38,0,11,0,2,3,1,4,0,4,3,5,1,8
39,8,5,1,4,2,9,0,3,5,10,5,0,2
40,1,9,8,1,8,13,4,3,7,0,4,6,13
41,1,6,3,0,5,5,2,0,6,10,5,2,11
42,6,4,0,9,2,7,6,1,1,8,6,3,12
43,0,1,2,7,5,2,5,8,5,1,5,2,12
44,4,5,5,13,8,8,1,11,6,6,5,0,7
45,2,11,0,10,4,2,3,4,2,9,5,4,9
46,4,7,0,5,6,7,1,2,2,13,6,8,12
47,4,3,8,7,8,3,0,0,2,7,5,7,8
48,6,3,8,3,0,11,0,8,0,1,5,2,12
49,7,6,5,11,8,6,6,7,0,7,4,5,8
50,2,6,2,12,2,4,7,9,4,9,4,7,8
