S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y
1,9,14,10,1,7,13,10,3,2,13,10,7,4,6,6,13,4,6,2
2,5,7,0,11,9,7,4,8,3,10,8,4,7,9,2,1,5,6,3
3,3,6,7,4,5,5,5,0,9,12,9,13,3,13,2,8,4,3,7
4,8,4,1,4,1,11,1,14,2,7,3,8,1,8,0,10,4,2,8
5,10,12,5,2,7,0,9,3,5,8,5,11,0,0,1,6,5,0,10
6,3,5,0,3,4,10,6,5,2,7,1,6,1,5,2,6,6,2,10
7,4,0,2,6,7,0,10,7,4,9,7,2,2,8,0,6,5,6,2
8,3,4,6,13,6,1,10,5,8,9,2,9,0,11,2,4,6,8,13
9,2,0,1,0,9,10,1,1,10,8,1,10,5,11,2,11,4,10,9
10,7,0,6,8,7,4,0,4,2,0,5,9,6,13,9,13,6,1,0
11,0,11,1,13,0,10,2,13,2,1,0,12,2,10,7,13,5,2,3
12,10,4,8,10,7,6,5,0,4,4,6,14,5,1,5,6,5,5,2
13,2,6,8,1,0,8,1,8,5,2,5,0,9,0,4,4,4,7,4
14,7,12,1,9,0,8,3,1,1,0,8,3,1,14,6,6,6,8,6
15,0,11,2,0,7,3,6,1,6,12,9,1,7,7,5,6,5,9,11
16,6,13,2,3,5,4,1,5,9,1,1,1,10,2,7,0,5,0,8
17,2,2,4,14,1,8,6,4,5,3,1,9,3,3,9,4,6,5,9
18,10,3,6,12,2,8,2,7,1,7,5,3,0,10,0,8,6,4,12
19,0,12,8,14,6,5,5,2,9,5,4,6,1,7,0,7,6,0,6
20,4,12,1,12,8,12,4,13,2,0,4,8,9,3,5,10,6,1,8
21,10,0,6,11,0,8,7,9,1,9,7,14,4,4,7,11,4,4,0
22,5,7,3,14,2,8,2,10,10,10,7,5,8,12,6,4,5,7,4
23,0,10,6,5,7,0,8,1,9,14,4,11,7,5,2,1,6,6,12
24,4,11,1,8,8,8,10,12,0,11,6,7,0,3,9,12,6,2,12
25,10,1,2,1,2,4,3,14,8,13,7,14,6,7,5,5,5,0,13
26,6,5,3,2,10,8,0,14,4,4,8,2,9,3,2,11,6,6,8
27,4,7,4,8,10,6,9,2,6,11,7,2,2,11,3,12,4,6,3
28,4,7,0,1,3,9,2,13,5,12,0,3,4,2,6,4,4,0,13
29,5,8,1,14,9,13,2,3,2,0,3,10,2,8,3,14,4,5,12
30,0,2,10,9,6,2,9,9,3,14,10,8,2,5,5,10,4,1,14
31,4,12,10,6,7,1,4,11,10,10,5,6,2,10,9,0,5,1,0
32,6,11,6,9,1,3,7,5,7,0,5,0,3,9,2,10,4,10,3
33,2,0,5,13,9,9,9,4,1,10,1,4,6,11,2,8,4,1,14
34,9,0,10,7,3,7,5,13,9,8,4,0,10,2,0,14,6,4,10
35,8,3,8,13,1,4,8,10,5,2,9,11,2,10,3,11,5,4,9
36,4,3,1,7,9,9,7,9,0,1,4,13,7,6,7,7,5,5,1
37,3,3,4,0,7,4,8,8,6,0,9,9,6,4,3,10,5,6,11
38,7,11,6,5,2,8,1,0,5,14,5,11,1,1,10,3,6,0,10
39,0,13,3,4,2,11,5,6,6,10,2,2,2,4,2,6,6,10,5
40,6,0,2,12,4,4,6,5,0,4,5,8,3,12,1,2,4,8,10
41,4,3,9,13,0,14,2,2,7,5,5,11,9,10,10,10,6,5,1
42,8,12,6,2,1,14,2,13,4,1,1,5,1,4,1,3,4,9,5
43,4,14,2,14,6,14,5,4,10,14,8,9,8,6,2,7,6,7,3
44,0,1,6,0,8,0,5,12,7,10,7,4,6,11,9,5,5,10,10
45,6,13,4,1,3,10,4,2,6,0,9,8,5,0,0,9,5,5,12
46,2,11,9,0,10,13,4,10,4,1,6,14,9,9,4,14,5,1,2
47,3,1,3,5,8,9,10,11,0,12,2,14,1,6,8,5,4,7,5
48,10,13,0,7,8,4,5,10,4,1,5,12,8,5,4,11,4,6,6
49,7,1,6,13,1,14,5,7,6,6,8,13,3,9,4,0,4,7,4
50,9,12,8,14,9,13,5,2,4,2,6,4,1,10,8,13,4,8,11
