S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,Capacity,Target_x,Target_y
1,5,8,1,7,8,3,6,1,10,4,8,6,6,2,7
2,4,7,1,5,3,2,10,3,8,11,10,1,5,0,2
3,0,7,8,6,11,10,6,8,5,2,5,4,5,4,4
4,4,11,7,7,0,11,3,2,2,2,5,3,6,8,0
5,4,5,5,3,6,6,3,10,5,7,9,8,6,4,3
6,1,8,7,10,11,6,7,4,11,1,8,0,4,3,9
7,7,4,11,4,4,0,11,5,5,2,7,11,5,9,10
8,8,7,2,5,6,4,10,3,2,8,3,4,6,10,6
9,7,11,11,5,4,11,0,8,3,2,9,0,5,3,1
10,4,9,3,11,3,8,1,2,2,3,0,9,4,2,5
11,11,10,9,11,1,10,10,2,0,10,8,8,4,4,0
12,10,0,5,1,5,11,1,11,10,2,2,10,6,1,10
13,3,7,5,6,10,7,5,8,8,0,6,10,5,5,5
14,7,1,10,7,11,4,1,2,1,9,10,8,6,2,9
15,9,1,4,10,0,0,8,0,9,5,8,10,6,8,4
16,10,9,4,7,7,9,0,0,9,5,2,3,4,3,10
17,6,5,9,11,4,3,6,7,7,9,9,7,5,6,0
18,0,8,6,8,9,6,11,3,5,8,7,8,5,1,0
19,11,5,2,5,3,9,11,1,8,11,4,3,4,11,4
20,6,1,1,3,11,0,7,6,10,10,7,7,5,5,9
21,8,1,5,5,10,9,4,11,11,9,7,1,4,7,9
22,0,6,10,7,8,8,6,11,4,8,5,9,5,4,11
23,6,8,9,4,5,6,2,1,8,3,3,5,5,11,4
24,2,5,7,11,5,2,9,7,2,4,3,4,6,8,6
25,5,6,0,1,2,9,6,9,9,2,2,3,4,9,0
26,7,3,8,3,9,7,1,9,1,0,3,8,6,0,7
27,8,0,2,10,10,3,3,8,8,7,7,8,5,4,2
28,0,2,11,3,6,11,9,10,4,9,2,11,4,6,10
29,3,4,9,10,1,7,10,7,2,10,3,11,5,11,6
30,0,4,4,9,6,1,4,8,3,5,4,0,6,9,1
31,5,0,5,5,4,4,1,5,7,4,1,0,4,2,3
32,3,10,3,2,7,8,2,0,5,10,8,2,4,6,9
33,0,1,1,3,7,8,10,4,11,6,10,10,6,1,1
34,11,1,4,11,2,1,3,1,7,6,1,6,6,11,0
35,8,8,0,3,9,9,2,0,3,7,2,8,4,7,5
36,0,0,11,10,10,1,5,2,5,6,7,2,6,10,9
37,4,10,4,1,4,3,6,11,1,1,10,9,4,8,5
38,4,6,4,2,3,6,9,1,6,8,11,10,4,5,11
39,1,9,11,1,7,3,4,7,6,2,10,3,6,0,2
40,5,1,2,4,10,5,2,2,2,1,0,0,5,7,11
41,3,9,2,2,3,4,5,3,8,8,4,3,6,8,11
42,7,4,2,6,9,7,10,11,2,1,7,1,4,3,2
43,1,10,8,11,0,7,3,1,4,6,10,2,6,10,4
44,6,2,5,2,8,1,11,10,9,1,1,11,6,2,8
45,0,5,0,1,2,1,8,6,5,10,1,2,6,0,7
46,0,6,8,4,0,3,9,11,3,3,2,3,6,8,2
47,9,10,8,6,5,5,0,11,3,6,0,10,4,4,8
48,2,7,7,4,9,11,8,7,3,8,3,6,4,7,7
49,6,5,9,1,6,2,7,9,3,11,9,4,5,1,10
50,0,5,9,10,1,4,4,7,0,1,10,7,5,11,8
