S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,Capacity,Target_x,Target_y
1,5,2,6,1,2,6,6,6,5,9,7,13,1,6,10,0,3,12,6,2,4
2,9,12,1,11,5,1,6,8,3,10,0,0,4,7,4,1,0,13,4,0,2
3,9,7,6,5,6,4,7,9,10,13,2,4,10,12,4,13,7,14,4,0,1
4,10,9,0,14,1,4,9,13,2,9,9,7,5,0,9,10,2,13,4,1,14
5,1,11,6,0,8,4,6,8,10,14,10,6,3,7,1,6,7,2,6,5,5
6,4,1,0,5,2,7,8,10,1,1,7,8,10,4,10,2,0,1,6,3,8
7,10,8,6,10,6,5,5,11,2,11,9,2,3,8,7,4,8,11,6,8,6
8,0,5,0,3,1,6,1,12,5,2,8,6,3,8,2,0,5,12,4,3,4
9,2,13,2,2,5,11,6,13,5,5,9,4,0,7,10,8,7,2,4,5,2
10,0,10,9,4,4,10,7,11,8,8,6,4,2,6,8,1,6,0,4,3,2
11,1,13,3,7,2,0,2,10,0,12,5,3,9,11,3,6,1,6,6,7,2
12,2,4,9,12,7,7,10,3,6,13,8,14,5,2,6,8,2,7,5,2,13
13,0,4,0,9,1,0,6,7,1,6,8,14,4,9,5,10,2,9,4,7,1
14,8,5,8,11,6,6,8,8,4,2,4,1,9,7,8,9,7,5,4,3,6
15,6,4,6,1,5,9,7,1,9,4,4,6,10,12,9,9,8,4,6,7,0
16,6,13,5,14,9,0,4,12,4,6,9,1,6,4,7,14,6,0,6,4,7
17,6,8,1,2,5,4,5,0,0,9,3,3,10,7,5,5,1,8,5,4,2
18,0,6,8,3,6,5,5,8,4,2,3,9,5,3,8,5,4,9,4,8,2
19,1,12,1,11,6,10,10,10,2,3,4,1,5,9,5,4,1,13,5,8,13
20,8,12,5,6,3,3,7,9,5,9,0,11,3,2,6,1,7,1,5,2,8
21,8,14,5,12,1,0,5,13,6,5,10,6,8,1,5,10,4,11,5,0,5
22,5,5,6,8,5,3,10,2,6,2,6,5,6,1,3,6,8,0,6,10,9
23,1,2,10,0,6,0,7,12,7,7,1,11,1,13,0,9,4,10,5,7,4
24,7,11,4,0,3,3,6,6,1,7,7,10,2,9,8,5,5,9,6,8,4
25,2,0,9,2,10,7,4,3,0,0,9,3,3,0,9,0,0,3,6,1,12
26,1,0,8,4,2,10,7,4,3,8,7,10,6,9,9,6,3,10,6,3,0
27,9,5,0,7,3,0,4,0,3,10,7,3,10,2,6,0,8,11,5,7,14
28,7,12,5,10,7,13,4,10,0,6,7,8,0,12,0,10,10,9,5,6,2
29,5,4,0,2,8,9,8,10,7,5,8,5,0,7,8,14,7,12,4,1,14
30,8,2,3,14,0,6,3,2,10,2,6,13,4,7,8,11,10,9,4,5,2
31,4,11,8,11,0,14,9,4,5,11,6,3,5,8,4,6,3,14,4,6,7
32,1,7,8,11,8,14,1,12,7,7,4,6,4,8,7,6,5,3,5,9,1
33,6,13,3,2,1,0,9,0,5,12,6,11,2,13,8,0,0,2,5,3,10
34,5,8,4,11,2,0,7,7,6,7,1,12,0,8,6,2,10,11,5,7,12
35,9,14,6,11,0,11,8,6,8,11,7,13,4,8,0,14,4,14,4,7,3
36,1,7,10,12,6,10,0,10,1,0,5,10,0,1,3,11,8,11,4,8,5
37,4,4,3,0,0,2,6,6,8,0,6,12,9,1,2,7,9,11,5,1,0
38,9,0,2,13,0,6,10,0,3,2,4,7,9,1,3,14,5,7,4,4,10
39,2,2,8,5,9,14,7,3,4,4,8,6,4,10,3,7,4,13,6,3,6
40,3,8,4,4,8,13,6,14,4,7,4,14,9,5,4,9,0,4,5,9,4
41,9,4,3,8,8,8,4,3,10,14,6,6,0,5,9,1,10,5,5,4,12
42,8,14,5,5,10,13,5,2,4,3,8,9,10,4,3,3,1,5,4,1,9
43,1,5,0,13,10,5,1,12,4,0,9,0,1,11,5,9,8,5,6,1,9
44,8,7,9,0,5,9,8,1,0,4,6,11,2,7,9,1,2,12,4,4,2
45,1,1,1,2,10,13,6,4,9,4,3,13,4,3,8,13,9,10,6,1,14
46,9,8,0,10,5,4,7,10,8,7,1,3,9,5,0,5,1,5,6,6,0
47,10,14,1,0,8,10,7,5,3,7,8,5,1,2,2,3,10,1,4,1,3
48,1,0,5,11,4,12,3,13,3,7,9,12,1,6,9,11,0,2,5,1,13
49,7,4,1,10,5,14,3,11,8,5,1,4,10,14,10,1,1,14,6,9,1
50,0,12,9,6,5,4,3,1,4,2,7,7,2,7,6,7,4,11,5,3,9
