S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,9,13,7,1,7,0,7,3,6,6,3
2,8,8,8,11,8,3,4,10,4,0,4
3,0,0,6,9,1,10,1,13,4,7,13
4,1,4,1,6,2,8,6,8,5,9,2
5,9,11,1,3,9,8,6,5,6,8,2
6,8,5,6,7,6,3,9,6,4,1,11
7,6,5,6,12,1,10,0,10,5,0,4
8,0,13,0,4,4,12,5,7,4,4,13
9,0,11,8,3,9,11,8,11,4,6,3
10,9,7,6,9,4,10,0,12,6,7,2
11,5,2,6,4,5,7,5,6,5,1,4
12,5,6,5,12,6,6,3,5,4,1,10
13,4,9,6,7,4,3,1,3,6,1,7
14,2,4,5,8,9,8,9,12,6,7,10
15,6,12,0,13,3,7,7,10,5,5,9
16,7,9,5,9,2,4,8,13,4,3,2
17,3,8,6,9,2,5,1,11,4,8,8
18,2,8,8,9,9,10,8,1,4,2,6
19,4,9,7,8,9,0,7,1,4,5,10
20,2,3,7,12,1,8,0,6,5,5,5
21,4,13,6,12,8,13,8,7,5,9,6
22,8,2,3,12,2,3,5,9,5,9,12
23,0,10,1,3,3,5,9,4,4,1,6
24,7,0,1,11,0,7,7,10,4,3,13
25,0,6,3,10,1,11,2,6,4,7,0
26,6,8,9,9,0,5,4,13,4,2,4
27,6,10,6,12,3,7,3,3,5,1,5
28,1,8,3,2,5,4,2,4,4,7,6
29,7,13,5,13,8,2,8,6,5,1,5
30,3,2,9,1,0,5,3,13,5,6,9
31,7,13,1,9,3,2,5,8,6,9,3
32,5,7,9,13,8,13,5,3,5,2,1
33,4,13,3,4,5,7,6,6,6,4,10
34,7,8,6,6,0,0,2,7,6,3,1
35,1,2,8,11,9,8,5,11,6,0,11
36,3,3,5,12,0,1,0,10,4,5,3
37,0,9,1,5,2,7,4,10,4,6,6
38,4,7,6,9,7,6,3,9,4,5,10
39,3,4,3,7,1,4,9,2,4,1,12
40,7,12,6,3,6,9,8,4,4,1,2
41,3,11,4,6,7,9,8,7,5,5,12
42,0,4,1,13,8,10,2,11,5,0,13
43,8,6,1,3,3,3,5,2,6,4,9
44,5,10,2,4,4,2,2,0,5,9,8
45,5,6,2,7,0,8,9,1,6,6,8
46,8,2,0,3,5,6,6,2,4,1,1
47,6,7,1,6,4,6,4,3,5,9,4
48,5,10,8,0,6,4,4,8,6,1,7
49,9,7,9,1,2,2,7,2,5,5,5
50,8,3,9,5,8,5,1,5,6,1,10
