S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,Capacity,Target_x,Target_y
1,2,10,5,7,3,4,7,10,6,12,3,5,6,9,13
2,0,10,2,2,4,13,4,0,2,10,4,9,4,4,1
3,6,9,7,9,9,0,9,1,8,11,5,9,5,3,5
4,3,3,8,5,6,13,1,0,3,12,7,4,5,2,3
5,0,6,9,12,9,8,6,0,4,5,4,7,4,3,10
6,0,8,4,8,5,13,8,5,9,10,2,8,5,6,1
7,2,13,8,10,1,6,1,9,7,0,0,9,4,3,11
8,3,1,7,12,9,9,2,9,5,7,4,3,4,3,3
9,1,11,6,7,6,3,9,2,1,13,8,4,4,7,3
10,7,13,9,1,1,5,4,3,2,7,0,8,6,5,12
11,7,4,8,1,9,8,3,3,4,11,0,7,5,3,5
12,9,12,7,7,5,4,2,11,9,4,1,10,6,6,12
13,4,4,6,4,0,11,1,3,5,11,9,9,6,1,1
14,0,7,4,8,0,5,6,6,5,3,3,10,4,2,3
15,4,12,4,10,0,7,7,1,1,9,6,0,6,6,11
16,7,0,7,5,4,8,6,13,2,10,0,5,4,2,1
17,6,6,4,9,2,2,2,5,3,1,4,0,6,3,3
18,7,0,5,4,3,11,3,13,8,12,1,5,5,2,5
19,5,12,7,9,5,5,0,3,2,4,6,3,6,3,12
20,1,9,1,12,2,6,6,0,2,4,2,5,6,4,8
21,4,1,5,2,5,3,5,12,9,0,7,8,4,1,3
22,4,6,6,6,3,8,7,9,5,2,1,5,4,9,8
23,7,3,9,10,4,10,7,1,9,4,0,10,5,7,10
24,6,4,3,5,2,0,0,12,4,6,2,8,5,7,7
25,5,13,6,6,7,6,8,10,2,12,1,1,6,5,4
26,8,12,2,3,8,6,3,11,2,13,5,7,6,4,11
27,0,0,2,6,6,13,0,3,5,6,9,10,6,5,3
28,9,9,7,12,2,13,0,6,6,7,8,1,5,1,4
29,9,9,1,6,0,8,0,6,4,6,9,13,6,0,0
30,2,7,4,0,9,1,9,0,2,4,0,5,5,0,0
31,9,8,2,2,8,5,8,10,9,0,7,0,4,8,3
32,9,13,9,0,8,11,1,6,7,0,8,9,6,0,11
33,8,12,8,8,2,10,6,3,1,5,4,5,4,4,9
34,8,13,5,0,0,13,4,12,1,1,0,6,5,7,2
35,3,1,0,11,3,3,6,9,4,12,4,10,4,1,7
36,4,5,5,2,5,8,4,12,4,13,6,6,4,5,3
37,6,10,7,11,0,8,5,12,9,1,3,11,5,8,11
38,5,9,0,6,6,4,1,2,7,3,4,5,6,9,9
39,4,8,7,5,0,6,9,9,1,11,3,7,6,3,11
40,3,1,3,9,6,3,0,6,2,11,0,10,6,1,1
41,9,6,8,2,3,11,5,13,8,9,5,1,5,7,0
42,3,1,1,3,9,5,2,8,7,7,0,2,6,8,13
43,8,13,2,8,6,9,3,6,1,2,0,6,6,9,6
44,8,2,9,11,2,2,1,4,6,0,8,11,6,3,1
45,9,10,0,2,7,4,7,12,8,6,4,12,6,2,8
46,3,10,3,4,1,5,4,12,7,2,5,9,4,2,10
47,6,3,4,3,1,12,6,13,9,10,1,6,5,5,12
48,5,5,7,1,6,3,1,12,8,11,9,2,5,3,1
49,5,10,4,8,8,2,9,7,0,7,6,6,4,5,13
50,1,5,4,7,8,3,9,5,3,13,9,6,6,3,0
