S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,R10_x,R10_y,Capacity,Target_x,Target_y
1,1,9,11,6,4,5,8,7,1,4,3,7,7,8,8,11,1,6,6,1,4,11,10
2,11,11,6,9,10,4,6,5,2,5,2,0,5,7,4,4,5,3,7,4,4,9,11
3,5,0,4,11,9,8,5,7,0,2,10,1,10,8,9,3,4,10,8,5,6,11,9
4,11,0,4,2,11,9,2,11,2,8,9,10,0,4,0,7,11,11,7,9,5,3,2
5,9,5,4,8,6,2,9,9,10,11,5,11,10,7,7,10,10,1,6,3,4,7,3
6,0,5,0,2,8,1,2,11,7,10,11,5,7,1,0,6,10,1,5,11,5,7,7
7,2,0,3,4,3,2,5,4,9,7,1,9,10,7,4,2,5,1,2,5,5,6,6
8,8,6,3,7,1,2,6,8,4,0,1,1,5,8,6,6,9,5,11,10,5,0,0
9,2,4,6,0,1,11,2,6,10,10,4,11,9,7,0,11,0,6,5,6,4,11,0
10,3,10,1,11,10,3,3,11,5,3,5,0,11,2,10,6,11,7,5,5,4,0,5
11,2,7,1,0,11,0,10,4,5,10,5,4,8,11,10,6,3,7,0,0,6,2,8
12,9,3,2,2,5,6,7,2,9,0,1,11,6,4,3,6,8,2,9,1,5,0,4
13,9,11,7,5,1,10,1,6,11,7,6,11,0,6,5,1,3,1,8,3,5,3,8
14,3,1,10,5,4,5,5,2,8,7,5,1,1,11,10,11,7,6,3,11,6,8,9
15,10,10,5,1,11,9,9,9,6,11,2,2,5,9,9,7,11,4,1,10,4,0,8
16,10,0,9,2,3,2,2,3,1,5,4,6,5,9,10,3,6,3,9,1,6,10,5
17,4,6,1,1,0,2,7,1,4,10,10,1,11,11,0,0,5,2,5,3,4,8,2
18,3,3,5,3,4,4,5,2,3,4,4,6,9,0,5,9,3,11,11,6,5,1,10
19,2,7,8,8,4,11,4,5,10,2,3,6,5,6,1,2,3,9,5,3,6,9,9
20,11,11,5,7,6,2,4,7,11,9,8,1,8,2,9,10,7,1,3,0,5,6,4
21,6,6,0,6,9,7,8,1,2,11,1,6,0,2,9,5,7,10,1,8,4,11,3
22,1,8,1,1,7,11,5,7,9,7,1,10,0,8,7,2,10,2,5,8,4,3,6
23,4,5,6,11,6,2,1,4,7,9,1,6,6,10,2,10,5,5,11,2,4,1,9
24,9,10,5,8,4,5,1,2,9,7,10,6,3,8,6,3,3,11,11,5,6,0,7
25,5,6,10,8,5,7,0,3,3,10,3,8,3,9,8,6,3,5,2,9,6,7,6
26,1,1,10,3,3,9,11,10,2,8,3,1,9,4,4,8,9,1,4,10,6,6,11
27,2,0,11,1,7,7,2,8,10,2,1,8,2,3,6,3,11,7,4,5,4,11,10
28,0,11,11,5,6,5,10,9,5,1,10,3,3,5,0,7,4,5,2,7,6,10,1
29,0,9,4,2,2,6,5,11,2,10,3,9,6,11,5,10,4,10,2,5,5,6,1
30,6,10,4,0,11,10,3,9,1,0,2,9,9,6,8,7,7,3,4,1,6,10,10
31,8,11,7,2,1,2,3,10,11,3,4,10,5,9,0,11,11,4,4,3,5,1,5
32,11,5,10,0,3,1,1,2,5,7,3,2,7,8,9,11,8,1,0,7,6,10,10
33,11,10,10,1,0,9,9,10,0,2,11,8,3,11,9,0,4,5,9,4,5,5,1
34,1,10,0,1,9,2,6,8,11,7,2,6,10,4,8,3,9,4,3,0,4,5,3
35,9,6,6,8,11,1,2,9,11,6,9,0,3,6,1,11,7,5,5,2,4,1,3
36,11,11,2,4,4,0,10,6,2,0,11,5,2,8,6,3,3,9,1,2,5,10,10
37,9,8,7,1,9,7,0,5,10,5,2,0,4,5,9,6,5,6,3,9,4,4,1
38,5,8,7,6,5,4,5,7,11,8,6,5,9,11,3,10,3,8,7,2,5,0,7
39,9,1,9,5,2,0,0,7,0,0,7,6,6,9,8,3,3,6,6,5,5,0,1
40,2,6,10,0,3,11,4,6,2,2,6,2,8,6,11,8,7,5,6,10,5,3,1
41,5,4,9,3,9,8,11,9,8,7,6,6,3,9,5,0,10,2,8,9,5,7,2
42,0,8,11,1,2,6,0,0,6,7,6,9,6,10,8,10,1,4,9,9,4,2,9
43,0,9,11,9,7,5,2,9,10,6,10,5,7,4,8,11,2,1,5,10,6,9,11
44,4,5,11,9,4,10,11,6,9,9,2,11,11,11,1,2,8,1,7,2,5,2,0
45,11,4,3,7,8,7,8,4,1,0,2,3,5,2,5,9,7,3,4,1,4,0,8
46,4,5,5,10,2,1,10,5,7,6,10,7,6,7,3,4,11,3,2,5,6,10,9
47,8,5,0,3,0,8,2,10,11,6,6,7,5,10,9,3,9,7,5,0,6,4,4
48,4,10,0,11,6,0,0,1,9,6,11,0,6,10,8,3,3,9,2,6,6,0,6
49,6,10,3,0,10,5,4,0,7,1,2,4,7,10,2,3,0,11,3,1,6,8,6
50,7,9,3,5,9,9,8,11,9,11,2,11,7,5,6,3,4,1,0,2,4,8,3
