S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,Capacity,Target_x,Target_y
1,9,12,8,12,8,10,0,3,5,9,1,11,3,7,7,6,6,12,5,3,5
2,6,3,0,11,7,10,1,6,0,0,4,4,5,12,5,10,6,12,4,3,11
3,2,10,8,2,9,9,1,7,4,11,0,7,9,12,7,7,2,0,6,5,8
4,9,0,0,2,3,1,6,1,6,10,5,12,1,2,0,9,9,9,6,6,0
5,3,10,8,13,4,12,4,7,5,11,6,13,4,3,9,4,3,6,6,8,9
6,3,6,7,7,0,7,2,13,6,6,7,9,4,1,7,2,2,4,4,5,8
7,0,4,4,5,5,10,8,2,8,4,2,10,5,7,0,7,0,12,6,8,7
8,1,9,9,2,7,13,6,12,3,0,3,12,1,2,5,0,8,7,5,1,3
9,2,1,4,8,5,1,1,3,3,2,0,5,3,4,4,0,2,2,6,8,5
10,4,12,2,11,2,4,5,1,8,5,2,5,0,7,2,3,4,5,4,5,3
11,2,5,5,5,3,4,6,3,4,5,9,5,3,11,7,8,3,12,6,2,1
12,4,12,4,9,5,10,6,2,6,11,2,11,9,9,8,11,3,9,4,2,0
13,4,8,6,13,3,5,1,5,1,2,3,9,6,1,1,4,8,12,5,3,8
14,6,13,9,3,4,4,6,8,2,6,5,11,8,9,8,13,1,8,6,5,8
15,1,0,9,7,3,9,0,3,2,5,0,8,7,7,9,0,4,5,6,0,7
16,6,8,1,13,8,8,4,7,5,12,9,11,5,5,1,0,2,6,4,9,4
17,3,8,4,5,0,7,0,4,5,8,4,0,1,6,7,8,0,8,5,6,3
18,2,9,6,10,3,12,7,7,5,5,6,0,2,5,8,2,9,10,4,9,9
19,8,13,4,1,8,9,2,2,4,2,6,10,1,1,9,2,7,10,5,1,4
20,6,5,6,13,0,11,8,9,3,13,2,7,9,7,6,3,2,9,4,9,11
21,6,8,9,11,1,1,8,3,6,11,3,11,4,13,7,5,2,0,5,4,3
22,9,5,0,0,6,1,5,7,1,2,2,13,5,12,1,4,1,9,5,3,2
23,2,9,2,6,4,2,8,2,0,9,5,7,0,12,9,0,8,1,6,5,6
24,0,13,1,8,3,10,3,4,8,8,0,3,6,7,8,0,7,6,5,2,11
25,9,3,3,7,5,4,1,7,8,1,7,12,4,4,0,6,0,9,4,0,10
26,1,1,3,4,3,1,6,0,0,9,6,12,4,4,1,0,2,7,5,5,2
27,1,0,0,0,3,9,1,6,1,11,4,13,9,12,2,10,6,0,4,7,12
28,1,10,3,1,5,12,2,2,6,5,5,4,1,4,5,5,4,7,6,7,9
29,4,5,1,5,5,1,5,0,7,6,4,10,6,2,6,12,7,4,5,2,10
30,4,13,6,11,2,4,9,5,6,8,5,6,2,12,3,0,0,8,5,4,4
31,1,11,6,6,7,8,7,6,9,6,1,13,0,10,3,11,7,9,4,4,8
32,6,5,7,12,3,0,0,8,6,6,5,0,7,5,0,9,5,8,4,6,9
33,0,10,9,3,4,1,4,11,5,12,7,12,0,11,8,7,8,0,4,9,4
34,9,5,8,9,3,10,1,2,4,6,3,13,6,2,7,3,7,0,6,2,4
35,1,5,3,1,7,9,5,8,0,9,4,0,4,13,5,4,7,7,5,7,8
36,5,11,7,9,1,4,8,13,4,0,2,12,0,4,1,10,1,3,6,5,0
37,4,0,2,10,9,3,8,2,3,10,4,9,7,2,6,7,7,3,6,6,4
38,3,7,2,3,3,12,0,2,5,0,2,7,5,10,1,0,8,3,5,1,6
39,0,5,0,13,5,13,5,3,9,9,3,13,5,7,8,0,5,11,5,9,2
40,6,12,9,11,2,5,6,13,8,12,8,5,7,4,1,5,6,6,6,9,0
41,6,7,2,8,7,9,4,10,9,10,9,5,8,9,8,13,1,9,5,3,5
42,7,2,7,5,7,9,4,6,1,4,3,5,4,13,4,4,9,9,6,9,6
43,7,3,4,13,7,6,1,9,8,1,2,7,4,11,7,9,0,7,4,0,6
44,3,1,8,10,9,8,7,13,8,12,3,6,9,0,0,8,3,5,6,5,4
45,7,9,3,11,0,5,6,5,6,1,7,12,6,8,8,9,3,3,4,3,1
46,7,0,7,11,5,4,7,3,0,4,0,9,0,0,2,0,4,10,4,6,0
47,8,1,7,2,2,2,6,3,4,10,7,5,7,0,6,12,6,6,6,2,12
48,9,10,4,6,8,4,7,11,2,2,7,9,3,8,5,9,7,6,6,0,1
49,3,4,9,4,6,11,9,2,5,5,7,4,7,7,0,5,7,5,6,2,9
50,1,4,9,8,1,12,8,3,4,7,8,5,2,6,9,7,7,8,4,3,2
