S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y
1,7,7,7,11,2,4,1,5,5,12,6,8,2,10,5,11,4,6,12
2,9,3,8,2,5,9,1,13,7,5,1,6,6,2,4,7,5,7,2
3,3,3,8,6,5,12,7,4,9,5,0,7,4,1,1,0,5,0,9
4,6,5,4,0,9,0,9,10,9,8,2,6,3,4,3,6,5,4,13
5,5,10,6,2,0,10,6,1,4,7,9,10,4,10,2,8,5,7,8
6,3,12,1,2,6,4,1,12,0,1,9,13,9,5,9,11,5,5,7
7,7,8,7,1,2,9,7,5,9,2,0,2,5,11,7,10,4,5,8
8,9,4,2,4,1,12,1,7,8,9,2,5,6,7,7,3,6,3,7
9,9,4,4,0,7,9,8,10,6,7,2,11,0,7,3,12,4,2,8
10,3,3,7,7,8,5,2,8,2,10,6,5,2,0,4,0,6,5,12
11,6,6,2,9,5,6,7,10,2,8,1,2,7,2,9,13,4,0,1
12,4,2,2,4,0,8,3,9,4,1,1,6,3,13,5,5,4,8,9
13,9,1,5,11,0,13,1,11,0,1,3,2,2,5,3,0,6,4,4
14,0,7,3,1,4,11,9,2,4,1,9,7,0,1,9,10,6,1,7
15,5,1,8,11,6,12,9,10,3,11,6,1,0,2,3,10,5,9,7
16,2,6,6,3,5,1,6,10,3,13,5,3,5,13,3,3,4,4,13
17,8,4,7,6,9,1,9,3,6,3,1,13,6,13,8,7,4,2,8
18,8,7,0,12,2,11,5,13,2,6,5,3,2,1,1,8,4,3,3
19,2,13,8,13,8,0,9,9,5,13,8,6,6,7,5,5,6,1,4
20,1,10,6,5,1,11,2,6,6,7,5,1,6,6,0,4,4,1,6
21,7,7,8,5,9,1,0,6,5,13,4,8,7,5,6,4,5,0,8
22,5,1,9,13,1,10,2,13,5,0,4,5,4,4,4,7,6,8,11
23,9,1,2,5,3,12,0,5,4,9,2,0,5,10,5,2,6,3,13
24,3,8,8,10,7,0,4,6,5,8,8,12,6,3,7,3,6,6,10
25,9,10,7,9,0,11,8,13,3,5,7,3,0,9,6,1,6,0,7
26,0,1,2,10,6,10,7,4,3,3,6,4,2,1,2,12,4,0,11
27,9,0,2,2,7,11,0,5,8,8,8,2,1,0,8,5,5,4,4
28,4,10,9,4,7,6,0,3,2,1,9,3,7,2,6,9,4,7,7
29,7,9,6,5,9,13,4,1,3,10,2,12,3,12,7,7,6,6,4
30,4,2,2,11,7,13,4,9,5,5,1,7,6,13,6,3,6,5,9
31,7,1,5,1,7,4,1,13,3,0,4,6,0,10,6,4,5,3,5
32,8,8,1,13,1,5,5,6,6,6,9,5,9,12,6,0,6,7,11
33,5,13,5,10,7,6,9,11,0,12,5,6,9,2,5,9,4,1,7
34,3,5,5,9,2,7,7,9,3,2,0,8,1,2,4,3,5,0,3
35,5,5,4,10,0,4,8,12,2,5,6,3,9,4,6,12,6,8,4
36,8,1,1,13,0,4,3,9,6,7,1,8,7,11,8,5,5,8,2
37,6,5,9,10,5,12,4,3,7,9,1,9,2,0,0,4,6,9,13
38,4,6,6,7,1,10,8,9,3,1,4,13,6,2,6,0,6,7,5
39,0,10,3,4,3,7,1,4,5,0,0,1,4,8,8,7,5,3,8
40,8,6,2,1,6,9,6,6,3,2,5,3,9,3,5,13,5,5,4
41,8,10,2,10,8,6,7,2,7,9,3,8,2,12,1,4,5,8,8
42,7,10,0,8,9,13,8,3,2,6,7,0,7,5,9,8,5,4,10
43,6,10,6,11,6,13,0,13,8,8,8,0,7,7,4,11,5,1,3
44,8,12,0,11,0,10,3,9,1,1,1,4,3,5,1,10,5,2,1
45,4,0,4,4,5,9,2,4,3,8,5,10,4,12,6,10,6,7,9
46,9,1,8,4,9,10,1,12,7,13,6,5,5,5,4,8,6,9,11
47,0,4,6,5,4,3,1,11,7,2,1,8,7,4,3,6,6,2,9
48,7,11,6,8,5,1,4,6,6,9,9,13,3,2,6,5,4,5,8
49,4,10,3,7,5,8,1,13,8,9,6,9,9,9,8,5,6,2,9
50,1,0,0,0,5,4,4,8,2,13,4,4,5,6,9,6,5,8,13
