S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,2,16,8,13,3,11,2,8,2,11,6,9,0
2,2,3,3,3,3,16,0,9,1,7,5,0,5
3,12,8,11,0,3,13,0,4,4,8,6,7,7
4,12,9,11,9,9,4,8,14,12,16,7,8,3
5,11,9,7,15,4,4,7,8,6,5,6,1,14
6,5,4,12,12,3,5,9,11,5,5,5,7,6
7,6,2,5,16,9,10,2,8,12,5,6,3,3
8,1,15,12,3,7,12,9,4,6,1,7,7,4
9,10,0,6,16,11,15,10,5,3,2,6,3,15
10,8,5,10,0,12,6,4,11,1,8,7,4,4
11,11,6,10,2,10,9,4,9,7,11,7,3,9
12,7,4,12,12,4,10,4,2,5,9,5,9,5
13,10,7,6,15,0,3,0,5,6,6,5,10,10
14,8,13,9,3,4,11,8,1,5,5,5,1,14
15,1,4,0,8,1,2,7,6,2,1,7,8,1
16,3,0,10,3,6,12,5,9,7,14,7,11,15
17,4,12,9,13,0,9,1,2,6,11,5,1,16
18,4,12,6,11,9,3,1,13,7,15,5,0,9
19,12,2,4,12,0,5,7,4,10,6,6,8,16
20,6,9,7,10,4,6,4,8,0,14,5,9,8
21,7,9,0,12,4,6,7,0,2,1,5,0,14
22,6,3,4,16,5,14,8,4,2,11,5,12,10
23,6,14,5,15,6,6,9,14,7,12,5,10,6
24,12,5,12,1,2,4,10,11,7,14,6,0,13
25,9,2,0,9,0,16,4,16,9,13,6,12,0
26,9,3,5,4,4,5,12,2,1,4,5,11,7
27,3,7,5,11,7,13,8,5,4,14,7,10,16
28,11,5,11,4,9,10,1,0,7,11,5,4,9
29,3,11,3,4,4,6,11,14,7,3,5,0,7
30,12,3,7,11,8,4,1,5,9,16,6,2,5
31,7,0,1,16,2,14,7,5,7,3,5,3,16
32,8,9,2,6,6,15,11,10,12,15,5,0,9
33,9,10,5,6,11,13,4,3,1,16,5,12,4
34,5,2,10,0,4,1,1,16,0,11,6,4,12
35,3,15,6,5,10,16,4,7,2,16,7,9,9
36,11,10,7,1,0,7,8,16,2,15,6,9,10
37,9,11,11,7,5,1,10,3,6,16,5,5,12
38,3,0,6,9,5,16,2,1,8,6,6,11,0
39,4,15,1,10,9,3,6,7,4,3,5,7,7
40,11,5,3,4,11,12,7,4,6,15,7,7,3
41,0,4,2,12,12,8,11,0,5,5,7,3,9
42,4,13,5,6,10,0,4,10,10,7,5,7,3
43,5,9,11,16,9,14,6,9,10,10,6,6,4
44,1,14,10,2,2,4,1,12,8,2,5,12,1
45,10,3,1,14,9,6,6,14,5,8,5,7,1
46,2,4,3,16,10,9,2,2,7,4,7,12,12
47,8,9,7,7,9,5,11,5,10,7,5,10,6
48,6,1,10,16,9,13,6,16,1,16,7,5,9
49,10,13,2,10,10,3,10,7,3,2,5,2,12
50,5,15,3,5,7,6,9,12,11,10,6,10,4
