S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,10,1,5,5,3,3,6,9,6,7,9
2,6,10,10,1,2,1,10,10,4,10,4
3,6,10,6,3,10,6,8,1,6,1,11
4,3,14,8,4,3,0,10,6,5,0,3
5,5,5,6,13,4,11,2,8,6,8,0
6,1,10,1,14,4,13,3,13,4,2,14
7,8,4,5,12,9,13,3,3,5,4,5
8,10,6,3,12,6,13,7,11,5,10,12
9,4,11,9,2,10,11,7,14,5,8,10
10,4,12,5,7,0,9,5,9,6,9,3
11,10,4,7,11,9,8,7,12,5,0,13
12,10,7,10,9,0,2,3,5,5,5,2
13,10,1,5,11,2,7,1,3,4,10,10
14,0,12,5,0,6,6,9,12,6,6,8
15,1,9,3,14,6,14,10,8,5,6,3
16,3,3,2,11,8,4,6,2,6,5,10
17,4,0,0,8,10,2,2,2,4,2,4
18,4,0,6,11,7,12,3,0,5,8,8
19,5,10,10,0,1,3,5,6,6,9,0
20,2,4,2,14,8,6,3,6,6,0,7
21,2,8,7,9,10,14,3,0,5,3,4
22,0,6,1,6,7,14,9,9,5,3,2
23,1,1,3,14,6,8,6,11,5,10,9
24,2,7,10,6,7,1,3,2,4,2,6
25,1,8,8,1,1,2,9,10,6,10,5
26,7,8,0,2,2,11,0,0,6,8,3
27,0,2,7,5,4,9,10,13,4,4,3
28,7,3,8,14,6,12,1,3,4,1,2
29,6,1,7,4,3,6,4,14,5,8,11
30,10,10,10,6,0,1,7,11,5,6,2
31,0,12,3,2,6,10,9,0,5,0,10
32,3,1,3,0,3,9,3,5,5,7,14
33,2,1,6,3,4,0,6,10,6,3,1
34,8,10,5,7,4,0,7,13,4,8,0
35,9,1,8,3,4,7,10,10,4,3,13
36,2,8,9,4,2,13,1,1,6,3,5
37,5,6,1,9,1,10,4,14,4,6,1
38,9,14,10,13,3,14,1,13,4,7,3
39,0,2,4,13,9,10,9,14,6,1,12
40,1,3,5,5,5,11,6,4,5,9,13
41,1,11,9,10,2,4,9,2,5,6,8
42,7,5,7,14,1,3,3,10,4,2,3
43,5,12,9,6,10,9,6,9,5,9,4
44,7,4,8,9,7,1,6,14,6,4,7
45,1,5,3,13,6,2,4,11,5,4,7
46,8,3,9,11,8,10,10,8,5,9,3
47,4,9,6,12,5,8,8,6,4,0,4
48,3,14,4,9,8,11,6,3,4,4,4
49,5,8,1,4,3,1,2,13,4,2,2
50,3,12,9,10,2,14,6,2,4,1,12
