S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y
1,9,11,0,11,8,16,12,16,3,9,3,14,4,5,7,8,7
2,5,1,0,11,11,11,10,12,4,1,5,6,1,9,7,2,15
3,3,6,10,13,11,13,4,6,12,8,11,8,6,15,6,0,9
4,5,11,12,7,9,7,9,5,3,8,3,14,7,6,5,6,12
5,11,16,1,14,12,7,10,14,5,0,11,5,1,10,6,1,12
6,8,15,4,6,1,15,5,14,5,2,9,5,1,12,5,9,0
7,12,11,3,4,2,16,5,15,11,15,4,3,6,5,5,5,1
8,12,4,4,5,3,3,10,4,11,3,12,1,10,16,6,1,8
9,6,11,11,4,12,4,8,5,0,10,3,16,12,3,6,12,9
10,0,11,7,12,4,3,12,1,7,1,2,14,8,11,7,5,7
11,2,4,8,11,5,16,3,1,12,7,12,12,0,13,7,7,0
12,0,7,8,4,9,10,9,13,6,10,8,16,5,4,7,10,9
13,4,2,2,15,9,7,1,14,5,5,12,5,1,15,5,3,12
14,12,9,11,5,1,1,12,0,4,10,9,16,6,7,6,3,5
15,7,11,10,15,10,14,10,10,12,11,9,7,7,0,7,12,2
16,4,1,9,9,11,6,6,12,4,0,3,11,4,10,5,7,12
17,5,6,9,1,12,7,5,2,0,3,9,8,11,15,5,0,8
18,0,10,5,0,12,0,10,9,9,8,11,14,10,10,6,5,9
19,1,2,1,7,12,2,2,2,12,12,11,16,2,9,6,0,7
20,10,7,6,12,10,16,6,4,3,15,1,13,3,13,6,5,8
21,7,4,6,5,11,10,7,10,0,11,10,0,12,2,5,0,16
22,1,5,9,12,1,16,10,13,8,14,4,0,11,6,5,8,13
23,1,10,12,15,4,1,10,6,0,15,12,12,11,11,7,9,15
24,7,7,0,11,8,14,3,8,3,0,10,12,9,11,7,11,8
25,4,15,5,4,8,0,1,12,9,10,0,16,0,9,7,12,0
26,10,14,1,3,11,14,9,8,4,10,5,0,11,13,7,10,12
27,12,14,4,15,5,6,7,13,11,15,6,1,8,11,7,8,1
28,9,15,2,14,4,14,5,9,10,9,5,11,2,3,5,8,9
29,2,7,6,6,7,11,8,11,10,7,12,9,9,16,6,4,14
30,5,9,12,10,0,8,7,2,4,8,9,9,2,10,7,8,12
31,2,4,1,12,9,2,7,12,5,8,12,6,2,7,6,4,13
32,0,3,5,14,9,16,6,10,1,6,10,4,12,8,5,12,4
33,11,7,11,3,7,2,1,1,2,9,0,1,0,15,6,6,9
34,0,6,5,0,4,11,7,2,8,7,6,10,6,13,7,12,13
35,5,6,4,1,1,1,10,7,9,11,0,16,3,15,6,11,1
36,6,15,1,15,5,5,9,2,7,14,7,5,7,12,7,0,12
37,6,6,10,6,10,14,10,16,0,8,12,16,8,16,7,2,10
38,2,0,2,8,3,1,9,0,11,7,7,5,6,7,6,3,10
39,0,4,6,10,5,6,3,2,11,7,1,14,10,9,7,6,11
40,3,14,3,5,9,16,1,7,5,6,4,7,10,10,5,2,12
41,11,0,5,6,7,2,1,10,7,13,0,6,12,7,6,8,15
42,1,16,5,8,9,5,7,14,4,16,3,1,7,15,6,7,5
43,1,3,10,0,4,7,3,6,9,7,7,3,0,5,5,0,9
44,10,6,8,8,9,16,9,14,2,12,5,11,11,7,5,5,10
45,3,1,12,11,2,16,12,6,2,5,4,16,7,9,7,7,2
46,3,7,7,14,0,14,9,8,8,7,9,12,5,0,5,10,10
47,4,4,2,6,4,11,5,8,0,4,12,13,9,13,5,6,0
48,8,14,3,12,2,3,10,16,5,2,2,11,8,5,5,7,2
49,9,16,12,7,8,10,10,8,2,11,6,9,9,15,7,6,16
50,0,13,11,14,1,12,0,5,6,9,4,4,12,12,7,6,0
