S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y
1,7,9,4,5,6,12,11,16,7,12,11,5,12,9,7,4,6,7,2
2,2,8,6,15,9,12,9,11,4,11,7,11,4,8,10,15,6,10,13
3,11,9,1,7,10,13,5,10,9,14,5,9,6,4,12,0,6,6,11
4,6,13,12,3,3,15,2,10,12,0,1,4,5,10,6,9,7,1,1
5,6,12,10,10,8,10,6,15,5,9,9,10,10,5,11,13,6,5,16
6,7,10,4,6,3,1,3,2,4,0,8,8,12,5,6,11,5,1,6
7,10,0,3,2,11,5,4,16,0,12,0,16,4,0,12,5,7,12,11
8,12,15,3,0,7,4,4,13,3,11,3,16,1,14,6,8,7,12,1
9,5,1,9,6,10,16,4,6,2,9,5,10,11,5,6,6,7,10,12
10,10,6,8,4,7,13,5,1,9,1,2,15,11,0,11,4,7,8,11
11,1,5,12,11,8,13,0,9,8,9,6,13,4,0,2,0,5,12,13
12,8,7,7,3,0,1,6,15,0,2,6,14,11,1,12,2,5,6,13
13,0,1,1,2,10,7,6,1,5,11,12,7,7,4,2,2,7,12,9
14,8,15,5,16,4,5,2,3,0,10,1,5,3,13,10,7,5,3,15
15,8,9,11,9,3,7,9,3,3,4,0,15,11,2,9,16,7,6,6
16,11,7,12,14,8,6,4,12,7,13,0,11,4,16,9,15,5,7,0
17,11,4,1,5,8,3,10,6,3,4,9,2,8,1,9,8,7,8,8
18,12,2,12,0,9,15,3,6,2,0,0,9,8,3,11,13,6,12,10
19,0,16,10,12,1,7,0,2,9,8,10,2,6,15,2,11,6,11,1
20,2,10,7,2,7,9,9,13,4,10,1,8,2,5,8,10,5,5,2
21,4,15,0,15,8,7,8,1,10,10,9,0,11,10,6,7,7,12,4
22,8,6,2,14,7,3,0,6,7,11,7,12,10,16,12,16,6,2,16
23,1,0,11,4,9,9,0,14,8,8,12,9,5,11,10,12,6,11,1
24,2,3,9,16,2,0,12,9,11,4,12,0,6,14,4,6,5,0,12
25,4,12,11,9,10,13,4,13,6,5,6,13,11,4,4,3,7,11,16
26,12,10,6,3,8,2,7,4,3,14,5,6,2,3,11,12,5,11,0
27,0,13,4,2,10,5,3,6,10,16,1,2,3,11,6,7,6,11,14
28,1,8,6,2,4,4,0,2,1,1,1,2,12,5,8,1,7,12,0
29,5,9,6,1,4,11,5,11,0,6,0,4,9,8,4,6,6,2,11
30,2,3,6,5,1,1,12,6,9,7,3,13,0,1,8,16,7,11,8
31,11,1,9,5,3,11,0,16,12,12,5,1,8,14,9,4,7,4,9
32,12,13,10,12,8,6,11,13,4,12,8,0,2,12,8,15,6,12,7
33,8,2,1,0,3,0,4,12,9,11,0,7,9,10,7,7,7,8,5
34,8,3,7,8,7,15,4,2,1,9,2,9,0,6,11,7,6,0,2
35,8,9,5,0,8,0,2,15,7,8,3,14,0,2,10,14,5,6,7
36,12,11,2,5,1,1,9,13,10,9,0,10,4,3,5,12,5,5,9
37,9,12,3,0,4,9,3,6,12,12,9,9,2,14,2,16,6,1,11
38,8,15,2,8,5,1,2,5,8,12,4,9,5,2,10,9,6,12,14
39,0,4,11,5,8,5,10,8,4,10,6,1,8,8,2,6,5,10,2
40,4,3,5,4,11,0,5,1,1,12,7,13,3,6,3,12,6,2,7
41,10,4,3,1,5,16,11,10,1,14,6,3,7,3,0,2,7,10,7
42,6,2,9,10,5,11,0,10,8,11,6,15,7,14,5,12,5,10,5
43,10,15,5,11,8,11,4,5,1,4,8,5,3,4,8,9,6,0,1
44,5,11,1,2,2,0,1,10,8,15,0,4,2,7,2,11,5,12,3
45,10,6,2,0,9,13,8,3,4,3,0,8,8,13,9,14,6,3,15
46,10,10,7,0,11,7,10,7,4,4,4,16,9,11,5,9,5,5,6
47,8,7,3,8,11,3,0,2,8,4,5,0,11,6,8,9,7,7,10
48,3,15,8,16,6,4,6,13,11,6,4,0,4,14,8,13,6,4,7
49,11,12,7,2,1,2,9,10,4,11,3,5,11,4,4,4,7,5,14
50,5,0,0,11,12,6,2,15,10,14,5,6,2,7,4,15,6,6,16
