S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,R10_x,R10_y,Capacity,Target_x,Target_y
1,6,0,5,6,6,12,4,1,7,1,4,3,7,13,3,8,4,5,3,13,6,2,12
2,7,5,5,5,7,11,6,12,2,2,2,13,5,12,6,5,7,7,8,12,6,5,8
3,9,5,9,4,5,13,8,9,0,6,8,12,4,6,4,1,1,8,1,10,6,0,3
4,0,9,4,12,9,4,4,9,9,3,2,6,2,10,2,2,5,9,1,9,5,7,5
5,4,5,1,9,9,13,5,0,9,6,2,8,5,2,8,4,2,13,9,0,5,0,9
6,0,6,1,1,4,8,1,11,5,13,1,2,4,2,4,12,4,6,0,3,6,6,5
7,9,11,1,13,3,7,7,7,5,1,8,6,4,2,8,1,5,3,0,4,6,6,0
8,9,10,4,11,6,6,4,0,0,12,1,12,6,0,0,8,5,4,0,3,4,6,5
9,2,0,5,9,0,0,5,1,6,13,5,12,8,8,9,6,0,12,6,1,6,0,11
10,8,9,5,13,4,7,9,9,0,11,7,1,6,3,6,7,7,3,5,11,5,9,1
11,7,4,6,12,8,9,2,11,2,6,7,8,3,2,2,5,0,10,5,11,5,6,4
12,2,9,3,1,3,3,3,11,1,0,0,11,0,1,6,6,7,5,4,4,5,0,6
13,7,11,3,1,3,3,5,1,4,7,1,11,2,8,4,10,9,3,4,8,4,0,12
14,7,4,8,5,0,11,9,7,4,8,6,4,7,7,9,12,8,9,1,4,5,7,1
15,1,3,9,4,7,6,4,5,7,3,8,5,0,7,3,3,1,4,9,7,6,5,11
16,9,10,8,5,0,5,0,7,7,8,0,2,4,7,9,6,2,3,4,10,5,6,6
17,4,0,1,11,1,5,7,6,7,13,8,5,5,3,9,1,8,13,2,1,5,5,6
18,7,2,1,13,6,8,7,9,6,13,1,9,8,9,7,6,8,10,6,3,6,6,7
19,0,9,9,9,8,11,1,1,7,1,5,8,3,12,7,8,2,12,2,3,6,9,5
20,0,6,6,9,2,9,0,10,6,11,4,10,4,9,6,4,4,2,7,11,6,8,6
21,9,1,5,12,4,6,2,8,4,5,8,8,0,8,7,4,7,0,7,10,5,7,11
22,6,12,5,7,1,1,2,11,5,1,2,7,4,7,7,8,6,5,7,7,5,6,3
23,0,13,0,2,3,5,4,7,6,10,4,0,8,11,0,5,0,7,4,4,4,1,2
24,8,11,6,0,3,5,7,8,4,0,7,2,6,11,5,11,0,13,8,2,5,7,7
25,4,8,9,2,0,5,3,0,8,4,0,13,7,6,7,4,2,6,8,0,4,4,13
26,0,9,0,11,7,10,7,2,5,11,2,7,8,6,0,0,6,0,6,4,4,8,2
27,3,6,8,2,8,10,6,10,4,7,1,11,3,4,5,8,9,6,8,6,6,3,10
28,0,3,4,9,2,0,6,0,7,13,7,2,9,2,2,2,8,4,8,3,6,9,7
29,0,9,9,6,6,2,5,2,7,2,6,10,4,8,0,6,0,0,9,5,4,5,13
30,5,1,6,1,0,5,6,5,5,13,8,13,7,10,7,5,7,1,6,7,4,7,0
31,5,13,7,0,3,2,9,3,3,6,7,8,2,9,8,1,9,11,6,5,6,9,2
32,4,13,6,6,8,3,7,3,9,4,6,13,7,1,1,4,6,8,8,10,4,8,5
33,1,10,2,2,6,12,7,2,1,6,4,2,4,1,0,4,2,6,5,12,6,4,0
34,6,11,2,8,9,6,8,12,7,7,1,8,0,5,7,1,2,9,6,13,6,0,13
35,0,6,7,6,3,11,1,7,5,7,8,8,0,8,6,0,2,5,0,0,6,5,4
36,0,11,4,13,1,7,0,2,2,4,6,7,8,1,5,3,4,7,8,10,5,1,2
37,4,11,1,12,7,6,0,4,6,10,7,10,7,1,8,13,3,11,8,8,4,5,10
38,0,0,3,1,4,12,3,5,0,12,3,7,7,12,5,7,1,10,0,8,5,4,0
39,7,5,9,0,1,3,8,2,8,5,2,6,2,9,6,3,3,11,5,8,5,8,0
40,0,10,8,6,9,0,3,3,0,2,8,11,7,2,0,5,4,3,3,13,6,4,1
41,8,10,2,13,9,3,7,1,3,7,4,6,5,12,2,10,7,3,1,8,5,2,0
42,1,0,8,6,0,12,3,0,1,8,3,7,3,13,8,7,9,4,5,9,5,2,2
43,6,13,8,9,2,7,9,10,5,6,7,8,2,10,5,12,2,4,2,11,6,9,8
44,2,1,8,8,3,4,8,13,4,8,3,7,7,11,8,9,4,0,3,6,6,0,4
45,3,9,5,11,8,11,7,0,5,4,8,7,6,10,0,1,4,4,1,1,4,0,13
46,8,12,2,8,1,12,1,0,8,13,0,3,0,12,5,13,7,8,5,8,6,9,2
47,6,5,0,5,9,7,3,4,4,12,9,9,0,6,8,8,8,1,3,7,5,5,0
48,5,13,0,13,5,1,6,11,7,4,1,12,9,11,2,13,0,7,6,8,5,5,9
49,2,1,4,1,1,8,2,9,6,3,1,9,9,4,9,9,2,0,4,11,4,3,10
50,2,11,0,4,9,7,4,10,0,5,7,7,6,3,2,8,0,0,2,10,5,2,4
