S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,6,5,2,10,1,10,9,14,6,4,15
2,5,8,10,0,0,16,3,6,6,2,8
3,8,7,6,3,4,1,5,15,7,10,4
4,6,8,2,14,3,8,4,15,6,1,12
5,12,14,11,6,11,13,6,5,5,12,6
6,12,13,8,9,5,11,9,7,5,6,1
7,10,5,0,9,8,15,3,8,6,3,14
8,3,16,4,13,3,11,6,2,7,4,9
9,2,16,11,12,1,15,8,8,6,3,12
10,7,6,5,12,1,9,2,10,6,6,11
11,6,2,6,7,5,8,8,12,6,6,8
12,5,9,7,8,0,9,2,4,5,5,6
13,12,5,7,12,9,6,11,1,6,2,5
14,8,8,5,16,10,15,6,4,7,3,14
15,4,3,10,12,4,9,11,7,6,9,3
16,6,3,2,4,4,9,12,13,7,12,1
17,9,16,5,5,8,1,9,2,6,6,1
18,10,8,8,0,4,14,4,9,6,1,12
19,4,14,1,10,8,6,1,3,7,0,16
20,1,11,0,5,12,16,2,9,7,3,9
21,8,14,10,7,8,1,11,8,5,6,3
22,0,14,6,6,3,4,9,2,5,3,11
23,6,11,12,8,9,8,12,9,6,3,3
24,9,16,9,8,9,11,3,4,5,8,2
25,12,15,0,1,5,7,2,7,6,6,7
26,7,14,9,13,0,7,9,14,5,11,4
27,12,7,8,10,5,13,12,13,6,5,3
28,0,16,1,15,8,3,10,3,7,7,11
29,5,7,9,16,10,8,12,8,6,12,3
30,4,15,12,6,8,15,3,1,6,9,9
31,12,13,10,13,2,5,3,13,6,11,12
32,9,15,6,4,12,10,8,4,7,3,3
33,8,7,12,13,10,6,2,12,6,6,7
34,9,6,2,15,2,11,2,5,7,5,3
35,11,3,5,15,1,10,12,15,5,4,2
36,7,16,3,15,10,7,6,1,5,8,9
37,10,4,0,13,3,3,4,11,7,6,15
38,0,14,0,2,8,9,7,1,7,2,0
39,3,4,1,7,9,2,3,3,5,2,6
40,8,1,1,10,8,8,6,6,5,0,7
41,2,13,4,14,4,4,12,12,7,0,8
42,7,1,9,10,1,0,4,11,5,10,1
43,8,0,5,1,9,4,0,15,5,6,4
44,4,0,4,7,6,14,4,13,5,9,3
45,5,1,6,1,12,3,0,15,6,12,0
46,9,3,1,7,8,0,6,7,7,10,12
47,8,13,0,0,2,12,6,12,6,5,9
48,2,11,7,6,0,13,8,13,7,7,12
49,12,10,12,5,4,4,9,14,5,5,1
50,10,0,8,10,5,10,12,9,7,7,16
