S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,6,9,3,5,6,8,9,4,2,12,6,4,3
2,10,11,5,5,0,5,1,12,6,7,5,6,5
3,8,0,0,12,0,14,10,3,1,12,4,1,8
4,2,0,1,7,8,0,4,6,1,2,5,8,11
5,0,5,7,9,6,10,10,8,9,13,5,1,7
6,5,0,9,4,3,10,4,3,9,6,6,6,0
7,0,8,4,2,0,3,5,4,2,9,5,9,6
8,3,14,10,14,7,6,10,11,7,13,4,3,12
9,2,5,7,5,9,3,2,1,2,13,5,10,7
10,8,11,8,1,7,13,7,5,2,1,6,6,7
11,7,14,1,11,4,11,8,4,7,6,5,8,3
12,0,3,2,4,3,0,3,3,1,6,4,9,4
13,10,10,3,10,1,5,1,1,1,8,5,1,2
14,1,6,2,12,0,2,4,7,7,2,5,5,4
15,4,13,7,9,1,5,5,7,6,10,6,6,8
16,5,9,2,9,3,1,4,3,5,6,6,1,13
17,2,12,8,1,8,11,0,4,4,11,5,8,4
18,9,5,2,9,9,1,0,8,5,7,6,5,8
19,6,0,8,4,4,2,1,10,0,14,4,10,9
20,6,9,4,5,3,3,1,8,10,10,4,7,6
21,4,1,5,7,9,1,8,10,10,11,5,1,14
22,9,2,2,3,0,4,1,12,8,6,6,3,11
23,10,7,6,11,1,12,1,11,7,13,4,0,9
24,8,7,4,11,3,1,2,11,1,11,6,6,3
25,1,2,9,6,4,6,1,1,6,5,6,9,5
26,10,6,10,10,8,4,4,11,9,3,4,1,10
27,10,13,8,6,3,13,6,8,1,0,4,7,1
28,4,10,2,8,7,0,1,11,10,10,4,7,14
29,5,3,5,13,0,10,10,11,3,10,5,0,14
30,0,7,5,7,7,14,10,6,3,9,4,1,4
31,8,13,3,7,0,3,10,6,9,14,4,7,3
32,3,12,10,8,0,12,10,12,5,0,4,6,5
33,10,5,4,11,2,10,3,7,9,13,6,0,6
34,5,2,6,4,8,8,9,11,7,14,4,7,5
35,8,13,5,3,1,11,10,8,10,2,4,9,0
36,1,1,10,0,5,13,3,2,3,14,5,7,3
37,5,5,9,11,10,12,4,3,6,3,5,3,5
38,1,4,7,4,3,1,0,12,0,2,4,4,6
39,3,11,3,8,2,6,6,1,2,11,6,9,2
40,0,11,7,6,5,3,10,3,3,5,5,8,0
41,5,1,4,12,9,8,4,8,7,10,5,6,4
42,4,14,0,11,1,2,8,12,0,9,5,3,13
43,6,13,4,1,3,5,7,13,3,1,6,7,14
44,7,6,3,2,4,9,9,11,6,1,4,8,4
45,8,11,1,11,10,10,3,13,5,7,4,2,14
46,8,3,8,12,8,2,3,2,8,10,5,2,7
47,2,1,7,14,4,4,5,12,10,11,5,0,6
48,4,7,3,0,5,2,2,7,10,5,6,6,7
49,3,6,7,9,3,12,6,0,2,12,5,4,12
50,10,1,6,7,4,2,2,8,10,9,6,6,11
