S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,14,4,11,3,10,3,11,4,5,1,2
2,9,4,6,8,12,1,12,14,6,14,8
3,2,6,0,13,10,5,13,12,7,8,4
4,8,14,3,8,3,2,9,7,6,10,14
5,13,13,14,7,2,9,7,1,5,6,2
6,12,3,14,9,4,4,7,3,5,1,11
7,6,13,14,8,6,5,2,2,5,0,7
8,4,14,13,10,13,8,4,5,7,14,7
9,13,8,10,6,13,10,7,5,7,7,3
10,10,6,8,5,3,8,7,12,5,2,8
11,14,13,0,1,8,11,13,1,5,5,7
12,9,1,9,3,10,1,12,11,6,10,0
13,13,10,6,3,7,0,4,14,7,2,14
14,4,14,8,11,10,9,9,8,7,9,1
15,0,9,7,7,14,8,5,0,6,2,0
16,14,6,10,7,0,7,14,7,7,2,9
17,6,7,10,2,9,13,12,5,5,7,2
18,11,9,3,13,6,7,3,12,7,5,0
19,6,5,4,0,6,8,7,6,6,11,13
20,14,6,7,14,2,11,4,11,6,3,14
21,11,2,10,10,6,9,3,3,5,14,14
22,10,2,12,8,2,2,4,3,7,11,12
23,13,3,4,13,13,2,7,0,7,6,3
24,11,7,13,1,4,4,2,10,6,14,2
25,10,10,12,4,5,10,1,11,7,1,14
26,11,9,14,5,6,6,5,1,7,6,3
27,8,10,0,4,1,13,6,3,7,6,13
28,12,10,4,5,13,12,1,14,7,6,13
29,4,7,13,0,6,12,8,0,7,2,3
30,12,9,7,13,10,2,0,14,5,10,8
31,12,10,12,5,10,6,10,8,7,11,3
32,11,5,4,12,12,10,4,14,6,11,12
33,5,10,3,6,0,6,10,2,5,7,6
34,0,3,11,9,7,8,4,2,5,9,7
35,13,1,14,11,2,6,8,1,5,14,10
36,1,4,14,10,13,13,1,14,7,11,6
37,8,12,6,8,11,12,10,6,6,2,0
38,5,12,12,3,0,8,10,10,5,6,9
39,7,2,1,8,10,1,13,6,5,12,3
40,12,2,13,5,14,6,3,2,6,2,7
41,0,9,6,5,10,6,6,4,6,12,1
42,1,3,13,1,14,10,0,13,6,13,11
43,13,14,11,13,11,5,5,4,6,14,7
44,11,0,6,9,11,5,7,2,6,5,5
45,9,4,1,11,13,1,1,14,7,3,5
46,14,8,12,1,14,13,3,6,7,4,6
47,3,12,1,6,6,12,4,6,6,11,5
48,5,1,7,13,14,12,14,5,5,4,6
49,3,3,12,6,3,9,3,0,5,10,1
50,6,4,10,13,1,1,7,6,7,10,6
