S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y
1,14,11,9,1,3,4,11,10,6,14,9,5,0,8,6,11,13
2,6,9,14,13,11,6,4,14,13,9,11,14,10,8,7,12,9
3,7,4,13,1,2,12,0,8,3,11,12,6,9,3,6,0,3
4,3,3,8,0,13,6,5,9,9,0,11,13,10,7,7,3,11
5,1,12,1,9,2,8,13,3,4,2,5,4,14,2,7,2,6
6,1,14,3,9,1,4,10,4,11,9,4,3,8,11,7,13,9
7,11,1,0,8,13,0,6,7,2,12,5,2,1,9,5,14,7
8,9,8,11,5,11,11,6,13,14,12,10,8,2,12,7,14,8
9,2,6,12,12,13,2,11,4,10,14,6,5,8,5,7,12,1
10,12,1,9,1,14,3,8,14,10,1,7,3,8,5,7,5,13
11,13,4,5,4,1,3,13,6,8,14,7,8,0,14,5,5,12
12,10,13,13,5,8,5,10,7,1,7,8,10,4,10,6,13,13
13,9,1,5,0,14,6,2,5,9,11,8,9,12,6,5,1,12
14,9,9,9,1,3,13,12,0,2,9,10,14,12,10,6,11,11
15,10,11,5,10,7,5,12,4,2,4,2,11,12,7,5,11,11
16,1,8,14,8,13,8,14,12,1,3,4,12,11,8,7,0,8
17,7,12,14,9,4,11,9,4,13,14,8,3,5,4,5,7,0
18,12,5,4,5,14,12,4,7,3,1,0,2,6,0,7,1,2
19,8,12,5,13,11,11,6,3,11,14,3,10,6,11,7,1,4
20,7,0,12,5,9,3,3,12,4,9,7,13,5,7,5,5,10
21,9,10,6,3,5,3,6,7,13,11,4,6,7,11,6,11,8
22,13,9,6,11,8,2,2,10,10,6,0,5,5,6,5,6,9
23,6,5,13,8,12,9,9,14,10,8,9,2,10,9,6,14,11
24,12,9,5,13,4,1,7,3,0,2,10,3,9,3,5,9,1
25,4,13,4,9,5,2,10,6,3,9,12,14,12,4,6,7,6
26,11,12,2,7,2,12,12,1,10,2,0,5,8,9,7,1,5
27,0,14,4,12,6,10,4,2,1,14,8,11,10,14,6,8,4
28,7,0,3,9,13,10,13,9,2,4,8,7,4,4,6,7,8
29,4,3,0,8,3,13,12,8,2,0,10,1,5,3,7,7,3
30,11,1,10,11,0,7,7,1,3,0,11,0,0,11,6,3,1
31,7,7,1,8,12,12,4,11,13,13,5,9,5,4,6,4,12
32,2,12,4,1,5,9,0,5,4,14,13,10,8,14,6,2,4
33,9,10,2,9,7,13,1,5,2,11,2,6,8,13,5,12,12
34,11,12,12,12,10,10,8,12,12,0,14,10,2,10,7,6,0
35,2,12,1,12,6,5,12,5,14,0,6,0,9,5,6,3,10
36,5,12,7,9,6,6,2,4,11,12,8,3,13,7,7,8,6
37,2,8,8,7,14,14,3,7,1,10,11,13,10,10,6,3,3
38,11,11,8,7,3,1,3,5,9,1,11,7,4,9,5,0,10
39,8,3,0,4,0,10,14,10,5,13,1,6,14,11,5,0,12
40,12,11,12,3,5,8,2,5,2,11,8,8,13,4,7,8,5
41,10,9,8,2,0,13,4,1,12,4,12,2,3,13,6,5,5
42,10,4,1,5,10,9,2,5,6,10,3,1,9,6,7,7,8
43,4,1,11,9,4,13,5,8,3,2,13,7,1,13,6,13,8
44,12,9,6,1,6,14,3,11,14,11,5,4,6,9,6,0,7
45,4,14,12,1,4,7,3,1,6,12,11,0,0,6,6,12,0
46,0,10,5,5,1,10,5,14,6,10,10,5,12,1,7,3,4
47,3,13,8,11,2,10,12,11,7,9,11,7,13,12,6,4,7
48,2,2,12,4,2,7,4,6,1,14,9,2,9,14,7,5,4
49,14,0,8,5,7,13,10,14,12,14,12,4,2,3,5,4,0
50,3,5,1,12,7,4,4,9,2,1,14,1,2,7,6,14,3
