S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,7,6,4,3,1,0,8,7,4,5,4,5,7
2,7,6,7,5,3,2,1,5,2,6,4,3,8
3,4,5,5,8,1,2,0,0,7,7,3,2,9
4,5,7,6,6,1,2,8,2,0,3,5,6,1
5,9,7,1,4,3,5,5,2,9,3,5,1,1
6,1,6,3,5,1,9,3,8,5,2,3,5,1
7,9,0,2,1,3,1,1,9,1,8,5,0,0
8,5,6,4,9,3,6,2,0,8,8,3,9,1
9,6,8,9,6,7,5,1,5,8,3,5,7,8
10,6,4,1,5,7,6,9,3,8,3,4,7,5
11,4,7,4,8,6,1,6,4,9,1,3,9,7
12,1,2,7,8,5,1,8,7,9,5,4,1,7
13,7,1,4,2,8,8,3,2,6,5,4,2,3
14,5,1,1,1,2,3,9,7,4,2,4,9,0
15,9,9,0,5,1,5,0,4,0,3,3,5,3
16,5,7,8,7,0,7,7,0,4,0,5,3,8
17,4,5,6,7,7,4,5,1,0,3,4,3,5
18,1,5,1,3,6,5,9,0,1,7,4,6,2
19,9,5,6,6,0,7,1,6,1,3,5,9,6
20,7,3,2,7,7,7,8,6,0,5,5,6,7
21,7,8,5,1,2,6,7,9,6,7,4,2,7
22,9,9,2,4,2,1,0,0,6,2,3,4,4
23,4,9,6,1,6,8,5,1,3,7,3,6,9
24,8,8,4,4,8,9,1,5,2,7,5,1,6
25,3,9,1,7,7,6,2,6,0,4,3,4,5
26,1,7,0,3,7,1,3,3,5,1,3,8,4
27,1,7,8,5,9,2,9,4,4,4,4,9,0
28,5,8,4,4,4,0,6,3,3,7,4,4,6
29,9,0,9,8,9,1,5,1,3,2,4,6,3
30,9,6,8,8,1,9,2,7,9,1,4,7,3
31,8,8,7,4,3,5,4,7,5,4,4,0,7
32,7,4,6,3,3,0,2,4,2,6,4,5,7
33,3,0,5,7,3,4,8,2,0,5,4,4,5
34,3,0,8,0,8,5,5,1,4,6,3,7,2
35,4,7,3,9,2,9,4,1,7,5,4,9,9
36,6,1,8,8,2,3,4,8,2,9,5,8,7
37,8,5,6,0,8,3,1,7,0,2,4,2,6
38,1,6,9,8,4,9,6,1,6,9,4,8,8
39,4,4,5,2,6,9,6,3,9,1,5,8,4
40,6,4,5,7,8,5,5,1,3,5,4,9,1
41,4,5,7,4,3,0,0,7,7,2,4,3,7
42,1,5,1,0,3,9,8,2,0,1,5,5,3
43,6,7,5,2,0,2,8,7,7,5,4,9,2
44,7,3,7,1,2,7,9,9,0,8,3,0,7
45,9,7,8,6,9,0,6,4,9,3,4,6,3
46,1,5,0,3,9,4,5,4,5,1,5,0,2
47,9,6,6,5,0,3,9,9,3,1,4,5,1
48,8,7,8,9,0,0,1,7,4,1,3,0,4
49,3,7,2,7,1,7,1,2,5,6,4,1,1
50,2,6,4,9,2,2,4,8,8,5,5,4,6
