S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y
1,9,10,3,9,1,9,2,0,0,7,9,6,9,1,4,5,7
2,4,0,4,1,9,7,5,5,0,3,1,8,7,7,4,3,4
3,6,12,1,7,2,11,2,0,4,12,7,8,9,0,4,9,13
4,1,12,3,12,8,7,1,5,9,10,7,12,8,2,4,0,4
5,3,3,3,2,9,9,0,7,1,5,6,2,6,11,4,4,4
6,1,5,0,2,4,7,0,7,0,11,6,6,1,1,4,8,6
7,8,3,2,12,7,8,0,12,5,8,3,13,5,4,6,3,2
8,4,8,7,7,3,11,6,9,4,5,8,6,8,9,4,5,9
9,1,11,8,12,3,7,3,0,1,10,4,10,2,3,5,8,7
10,7,10,6,1,9,0,2,11,4,4,7,1,7,0,5,6,6
11,9,3,2,11,0,11,8,10,6,9,6,3,3,8,4,4,10
12,2,4,2,8,8,4,1,6,3,9,7,1,5,12,5,0,4
13,7,0,3,6,6,3,8,4,3,12,9,4,3,9,4,6,8
14,0,8,2,9,8,11,6,10,3,0,9,11,7,12,6,8,2
15,6,4,0,5,7,10,8,6,3,5,3,7,0,4,5,7,12
16,8,10,4,12,9,8,1,4,8,6,4,10,1,8,5,6,6
17,4,9,3,9,5,10,6,9,0,5,4,3,6,5,6,3,7
18,3,3,8,3,1,4,6,10,5,7,5,2,9,9,5,1,0
19,8,11,8,7,8,13,3,1,7,10,5,2,5,8,5,9,5
20,5,2,8,12,4,2,0,3,6,0,2,3,5,3,5,0,6
21,9,10,2,3,9,0,0,8,1,4,2,7,8,9,6,0,11
22,5,12,0,13,4,4,3,3,7,12,3,12,4,11,5,4,9
23,7,6,2,2,9,6,3,1,3,9,0,7,3,0,6,1,7
24,5,9,4,8,4,3,2,5,2,8,2,4,3,8,5,3,12
25,5,4,8,7,0,3,0,1,5,13,6,5,7,0,4,9,13
26,1,13,1,7,4,3,8,4,0,2,8,11,3,10,6,9,10
27,3,4,7,2,0,9,9,11,9,1,2,9,2,8,6,6,12
28,6,10,5,7,2,5,0,1,9,5,1,1,6,2,6,0,7
29,7,0,5,7,5,6,0,12,6,4,2,7,3,10,4,4,2
30,2,6,1,10,3,7,0,4,5,4,6,13,3,11,4,4,2
31,4,8,1,12,2,3,0,0,0,5,6,4,7,2,4,8,12
32,2,11,6,3,8,6,8,1,1,11,0,4,2,12,5,5,10
33,5,8,3,5,2,12,8,8,7,5,7,1,7,2,4,2,8
34,6,9,2,2,5,6,1,7,3,4,0,9,2,5,4,5,1
35,7,7,2,2,0,1,2,0,4,1,0,6,7,6,5,6,9
36,3,12,8,7,8,5,5,8,4,1,5,0,4,0,4,7,10
37,9,4,6,1,5,3,7,0,8,4,4,11,0,10,6,7,1
38,9,5,8,4,2,11,9,10,9,12,2,13,5,11,5,8,7
39,0,0,8,5,3,1,1,12,5,3,9,10,0,10,5,4,8
40,3,6,9,8,4,1,9,6,5,11,0,2,6,9,5,5,2
41,2,12,4,9,9,11,6,2,0,6,5,10,6,7,5,7,12
42,5,2,4,7,8,10,3,4,0,9,5,5,6,11,5,2,10
43,8,6,4,12,1,11,7,0,6,0,8,3,5,0,6,9,13
44,4,13,8,12,7,3,9,2,2,0,5,11,2,6,5,7,12
45,6,2,8,12,7,13,7,2,8,2,8,4,6,1,6,0,8
46,9,13,7,8,8,1,8,4,3,12,5,8,0,4,4,0,8
47,7,6,4,6,3,1,2,7,3,12,4,12,8,12,6,0,4
48,4,2,8,4,0,11,1,2,3,4,5,13,9,10,6,5,9
49,0,12,9,0,7,12,0,5,0,7,9,6,2,5,5,4,12
50,8,8,6,7,0,8,4,6,3,6,7,12,7,11,6,8,6
