S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,Capacity,Target_x,Target_y
1,5,9,4,10,2,12,2,10,5,7,4,11,6,6,14
2,8,14,8,11,10,1,3,12,5,14,2,11,4,8,2
3,10,9,4,6,4,13,0,0,4,11,9,14,6,9,10
4,3,3,0,7,1,2,8,4,9,7,8,11,6,7,10
5,2,4,4,0,4,10,1,6,6,8,6,2,4,4,4
6,5,1,4,10,8,14,9,3,8,2,9,7,6,5,14
7,1,1,8,9,3,2,2,7,8,1,5,12,6,10,7
8,9,8,4,8,4,0,4,13,3,10,0,11,5,5,11
9,10,14,4,1,10,2,5,11,5,2,2,4,5,6,8
10,3,4,0,12,4,3,3,6,9,12,6,3,6,8,8
11,0,6,6,5,0,3,10,0,5,4,2,8,4,1,13
12,5,5,4,13,7,10,2,11,0,12,8,9,5,4,10
13,6,1,9,4,10,3,8,7,2,3,7,1,4,2,13
14,7,4,6,13,4,4,9,6,7,6,3,12,5,10,10
15,2,14,7,7,4,6,0,8,9,11,2,11,6,9,7
16,7,5,4,2,3,8,4,1,8,3,1,3,5,10,12
17,7,9,2,11,0,6,8,4,5,7,1,9,6,0,4
18,9,3,3,1,10,2,7,2,10,3,0,9,6,7,6
19,6,1,7,6,6,9,4,2,9,10,5,14,4,2,9
20,4,2,10,3,8,0,8,4,9,2,10,5,4,0,1
21,1,8,10,11,4,3,9,9,5,6,9,4,4,7,13
22,3,6,0,2,8,9,4,12,5,13,1,11,6,6,2
23,10,9,8,5,0,4,8,7,5,8,4,8,4,10,6
24,3,14,6,2,4,13,3,3,8,5,8,6,5,4,12
25,0,12,2,11,3,14,2,12,0,11,5,1,5,4,3
26,3,4,5,3,3,5,3,13,5,13,3,12,6,2,6
27,9,1,2,11,6,5,4,13,0,5,4,0,4,1,2
28,0,1,6,3,5,5,2,1,9,2,3,8,5,1,2
29,10,11,7,2,9,10,3,12,1,14,9,2,4,2,9
30,8,12,8,0,3,1,7,11,10,11,3,3,4,6,9
31,5,9,0,2,8,9,5,13,7,9,2,1,4,7,4
32,9,4,6,7,6,12,6,11,10,5,10,10,5,8,1
33,9,13,3,0,5,2,10,1,5,13,7,12,6,3,9
34,10,2,9,7,2,10,4,4,9,6,6,11,5,4,13
35,1,0,0,4,1,14,2,11,3,5,7,6,6,8,13
36,2,1,8,1,1,9,0,12,2,11,8,5,6,3,9
37,5,1,2,6,3,14,9,11,2,11,1,6,5,8,12
38,0,11,2,6,8,7,3,12,9,5,4,7,6,0,4
39,0,6,3,14,9,8,4,6,6,14,2,0,6,0,10
40,9,11,2,8,8,2,1,10,1,7,5,11,4,9,1
41,4,10,10,12,5,4,6,0,10,14,3,1,4,5,0
42,10,7,0,9,5,9,6,11,2,13,4,6,6,5,8
43,4,7,8,4,8,7,8,3,10,10,2,7,5,5,6
44,8,14,9,6,10,1,2,1,2,3,2,5,5,4,0
45,0,6,8,13,10,9,9,4,1,0,10,13,5,9,1
46,0,7,2,6,6,0,0,9,5,2,9,11,4,4,13
47,4,0,5,12,4,13,8,10,10,5,8,1,6,1,4
48,8,3,7,14,9,5,7,3,9,11,10,7,5,9,7
49,7,7,4,12,4,14,8,1,5,1,5,8,6,1,9
50,7,11,6,4,10,0,4,14,5,8,3,3,6,6,13
