S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y
1,6,16,2,9,6,7,1,2,1,15,0,0,8,11,6,1,9
2,3,16,9,0,1,12,1,0,7,11,6,6,2,16,7,6,14
3,4,17,0,9,1,7,9,0,11,5,4,9,10,12,5,5,0
4,0,5,11,1,6,5,5,2,4,13,9,0,3,6,5,4,6
5,10,9,8,0,8,5,2,1,9,15,6,5,5,17,7,3,8
6,9,9,2,16,2,6,2,11,0,4,0,3,8,9,7,1,2
7,6,17,1,2,6,6,1,9,9,7,9,3,5,14,7,11,11
8,4,8,9,17,2,10,9,4,7,8,7,7,4,3,5,5,8
9,9,14,2,9,0,6,3,6,4,15,6,9,1,6,7,0,16
10,10,11,2,14,5,15,5,17,2,3,8,5,1,9,6,4,1
11,8,6,10,1,7,8,1,9,0,11,1,8,1,15,6,10,10
12,11,6,10,17,0,9,5,16,2,15,7,12,10,0,7,3,6
13,10,1,10,7,10,2,2,0,10,15,9,7,6,6,7,0,16
14,10,15,8,5,7,1,4,17,2,16,6,10,5,6,6,11,7
15,11,11,7,13,0,1,11,3,1,12,6,11,1,17,5,5,14
16,4,17,1,15,7,11,6,13,2,6,7,5,2,8,6,2,3
17,11,5,0,15,6,5,8,4,1,12,2,16,1,15,5,9,7
18,5,15,3,2,6,13,4,5,1,2,5,13,0,3,6,0,12
19,7,2,5,0,1,5,5,4,8,13,1,16,11,4,7,9,0
20,5,11,3,5,8,0,4,5,8,1,7,13,7,9,7,5,14
21,5,12,6,3,2,14,11,3,2,15,3,0,6,14,5,8,3
22,8,14,0,14,11,8,7,4,5,3,6,3,1,16,5,7,12
23,9,9,6,14,7,7,5,14,8,9,3,11,2,2,7,8,4
24,11,3,7,2,1,10,4,10,3,1,10,13,5,0,7,2,4
25,4,10,4,1,4,6,8,13,7,16,5,2,4,9,6,1,6
26,4,2,3,7,0,5,2,8,1,1,0,13,6,11,5,0,16
27,7,16,11,14,5,5,4,13,1,2,8,11,4,8,5,8,14
28,10,10,7,1,10,11,10,6,4,6,10,12,4,9,7,11,15
29,4,11,5,4,3,0,8,15,9,7,9,3,4,15,7,6,9
30,2,11,0,9,4,12,8,5,9,12,2,4,9,11,6,8,15
31,1,8,3,3,8,1,11,10,6,1,7,4,0,16,5,0,2
32,11,7,6,15,8,15,10,0,6,9,10,7,2,11,7,6,13
33,8,14,9,15,3,12,3,10,9,7,0,12,10,12,6,1,6
34,0,0,7,5,4,4,6,11,6,1,0,10,1,6,7,6,13
35,2,12,3,4,11,12,11,3,7,1,9,3,10,8,5,7,13
36,10,14,4,3,4,15,11,0,3,6,0,13,2,6,7,7,10
37,7,5,7,8,2,14,1,3,2,1,11,4,10,17,6,9,16
38,8,8,11,16,4,8,2,11,2,6,5,15,2,12,7,8,0
39,11,1,9,6,1,3,0,14,11,6,2,3,5,17,7,7,5
40,1,16,11,5,9,7,8,11,5,0,6,6,10,9,6,11,0
41,4,12,0,4,0,6,9,9,9,10,7,9,7,4,7,8,3
42,4,17,7,12,3,1,5,12,0,8,2,1,9,1,6,6,1
43,0,3,11,14,4,15,7,10,11,5,6,3,4,4,7,6,13
44,3,7,11,0,0,16,10,7,2,15,3,16,2,6,7,2,5
45,10,1,10,3,2,10,5,3,11,2,3,8,1,13,6,11,17
46,0,10,4,10,3,16,10,13,11,14,8,3,4,5,6,9,17
47,0,9,0,15,1,12,8,11,5,4,5,16,0,10,6,0,16
48,11,7,7,8,9,16,6,11,8,2,11,13,11,3,7,8,10
49,9,6,8,3,5,4,3,16,7,0,0,2,3,17,5,11,1
50,2,12,1,10,9,3,11,8,7,7,11,16,7,17,6,9,9
