S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,1,5,6,0,0,0,10,11,9,0,4,9,9
2,10,4,6,1,7,7,2,3,7,4,4,2,8
3,11,3,8,1,1,2,4,9,7,1,4,11,7
4,1,11,10,4,10,3,0,11,8,8,4,1,1
5,11,5,6,10,2,1,2,11,1,5,6,11,6
6,4,6,2,11,5,5,4,9,0,3,6,6,11
7,0,11,6,0,8,6,10,1,1,10,5,9,7
8,4,6,10,0,5,10,4,7,1,5,5,3,9
9,1,6,2,2,3,4,5,6,7,6,4,11,10
10,9,10,3,7,8,1,6,2,7,6,4,5,3
11,3,4,8,9,7,6,10,11,8,3,6,2,6
12,9,0,10,1,8,7,0,6,5,10,4,7,1
13,2,6,7,5,6,6,11,11,6,0,5,5,1
14,2,1,7,8,9,2,7,2,1,3,5,1,4
15,6,8,1,8,11,10,11,7,5,5,5,10,1
16,5,1,4,4,11,6,5,2,7,5,5,0,2
17,5,3,2,4,6,6,6,2,8,9,5,11,9
18,2,3,9,3,11,7,9,9,6,3,5,8,11
19,1,5,10,4,3,6,1,0,6,3,4,4,8
20,4,3,4,2,10,10,2,11,4,1,6,10,7
21,1,4,2,7,8,1,11,6,6,3,4,7,6
22,5,7,3,2,11,8,8,0,2,5,6,3,9
23,6,5,11,6,1,5,1,1,8,7,4,5,0
24,11,6,1,3,2,8,2,0,11,7,4,0,2
25,4,8,7,4,4,1,6,9,7,5,5,0,10
26,2,9,2,11,5,10,7,7,7,6,4,5,7
27,9,1,5,3,9,8,7,7,8,9,4,5,10
28,7,5,8,5,8,11,4,5,5,0,5,6,11
29,2,5,2,4,5,9,7,0,0,1,5,9,6
30,9,10,11,9,5,8,4,2,6,0,4,5,1
31,9,7,2,8,5,8,3,1,10,6,6,0,4
32,10,4,5,2,10,11,7,6,4,4,5,4,1
33,11,10,10,5,9,5,7,5,6,0,5,2,5
34,5,5,0,1,5,8,0,3,2,10,5,9,8
35,4,10,5,6,2,5,7,9,3,0,5,5,3
36,9,5,5,11,5,9,5,1,4,3,6,1,9
37,8,8,10,2,7,11,4,2,8,11,4,5,0
38,8,7,10,8,5,0,4,0,5,8,5,7,2
39,7,6,9,3,0,8,11,2,3,3,5,8,7
40,2,6,1,10,0,7,9,6,0,4,5,11,0
41,6,5,10,3,9,11,2,9,10,5,6,2,8
42,8,8,7,7,8,1,1,1,10,7,4,4,10
43,0,0,7,8,4,11,8,9,10,0,4,6,0
44,0,6,3,10,1,1,7,0,2,9,5,6,11
45,11,2,5,10,11,1,0,7,5,7,6,7,3
46,6,1,6,6,9,4,1,2,4,3,4,3,6
47,4,2,11,7,8,11,3,4,5,7,6,6,3
48,3,1,4,3,6,8,9,1,0,3,6,2,7
49,1,11,4,8,5,6,3,2,2,4,6,1,5
50,9,6,8,11,1,2,2,4,3,7,6,5,3
