S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,7,5,0,9,5,3,5,11,5,9,1
2,10,5,11,10,8,1,0,7,6,9,8
3,6,6,3,11,1,1,0,0,6,0,2
4,1,5,11,8,1,9,3,1,5,10,3
5,0,0,11,11,7,10,1,1,5,1,7
6,2,6,7,6,10,2,6,0,5,0,1
7,1,6,3,0,6,4,9,4,5,0,3
8,7,5,10,0,4,1,5,5,5,1,6
9,5,3,11,7,7,9,4,6,6,9,5
10,4,8,10,0,5,2,4,11,6,2,4
11,1,8,6,5,5,4,2,11,5,5,8
12,0,8,2,7,7,4,9,11,4,9,9
13,9,9,2,5,1,6,9,7,6,4,4
14,5,0,11,4,0,4,6,7,6,4,4
15,10,10,11,8,10,0,11,5,5,8,2
16,4,7,7,8,8,5,1,9,4,6,11
17,1,10,11,3,5,10,6,3,5,1,3
18,8,8,3,10,11,5,4,11,4,9,8
19,4,0,8,1,2,4,9,6,6,6,3
20,5,5,1,0,3,0,1,8,6,2,6
21,2,8,6,6,5,6,1,4,4,5,7
22,4,10,3,4,11,3,11,10,6,8,3
23,3,4,11,4,8,2,10,6,6,8,7
24,4,6,2,4,0,3,9,6,6,9,0
25,5,4,4,5,5,8,5,6,6,5,9
26,5,8,5,5,1,3,0,1,4,5,9
27,7,9,5,6,4,5,2,8,6,9,1
28,7,7,1,10,1,2,11,10,6,5,3
29,2,5,11,1,11,6,5,2,4,5,10
30,2,7,5,5,4,9,2,10,6,5,11
31,5,8,9,4,6,3,5,0,4,11,5
32,4,5,9,8,2,7,8,4,5,11,11
33,6,6,10,8,4,6,0,5,6,5,11
34,10,0,10,8,6,0,5,6,5,6,3
35,4,2,1,11,4,10,1,4,6,2,7
36,5,11,7,6,6,6,11,5,6,2,6
37,6,6,7,9,0,3,11,6,4,9,1
38,9,11,10,10,11,2,6,10,5,10,6
39,0,8,1,3,0,9,7,5,4,8,4
40,11,2,6,1,0,11,11,6,6,9,4
41,11,6,1,9,10,2,7,7,5,5,2
42,1,1,6,5,9,11,8,0,6,9,9
43,1,8,0,2,10,10,7,3,6,2,8
44,3,1,9,9,6,6,9,1,5,2,2
45,2,5,11,2,4,2,0,9,6,11,10
46,4,5,8,4,6,1,4,3,4,9,1
47,9,3,10,1,10,0,2,4,5,4,7
48,10,9,3,3,7,0,2,9,4,9,2
49,9,0,11,10,7,10,3,5,6,9,2
50,9,5,10,1,8,2,9,0,4,11,0
