S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y,StationCount,Station_1_x,Station_1_y,Station_2_x,Station_2_y,Station_3_x,Station_3_y,Station_4_x,Station_4_y,Station_5_x,Station_5_y,Station_6_x,Station_6_y,Station_7_x,Station_7_y,Station_8_x,Station_8_y,Station_9_x,Station_9_y,Station_10_x,Station_10_y,Station_11_x,Station_11_y,Station_12_x,Station_12_y,Station_13_x,Station_13_y,Station_14_x,Station_14_y,Station_15_x,Station_15_y,Station_16_x,Station_16_y,Station_17_x,Station_17_y,Station_18_x,Station_18_y,Station_19_x,Station_19_y,Station_20_x,Station_20_y,Station_21_x,Station_21_y,Station_22_x,Station_22_y,Station_23_x,Station_23_y,Station_24_x,Station_24_y,Station_25_x,Station_25_y,Station_26_x,Station_26_y,Station_27_x,Station_27_y,Station_28_x,Station_28_y,Station_29_x,Station_29_y,Station_30_x,Station_30_y,Station_31_x,Station_31_y,Station_32_x,Station_32_y,Station_33_x,Station_33_y,Station_34_x,Station_34_y,Station_35_x,Station_35_y,Station_36_x,Station_36_y,Station_37_x,Station_37_y,Station_38_x,Station_38_y,Station_39_x,Station_39_y,Station_40_x,Station_40_y,Station_41_x,Station_41_y,Station_42_x,Station_42_y,Station_43_x,Station_43_y,Station_44_x,Station_44_y,Station_45_x,Station_45_y,Station_46_x,Station_46_y,Station_47_x,Station_47_y,Station_48_x,Station_48_y,Station_49_x,Station_49_y
1,3,12,6,9,4,14,4,13,3,5,1,9,13,7,0,13,7,9,2,4,0,6,4.0,7.0,6.0,2.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,14,6,2,11,8,8,7,2,8,10,5,0,0,12,10,6,13,11,5,0,6,1.0,11.0,5.0,11.0,6.0,8.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,13,1,0,1,2,10,7,12,5,14,11,0,2,5,3,5,8,14,9,1,5,1.0,10.0,2.0,14.0,5.0,8.0,7.0,14.0,8.0,6.0,8.0,10.0,9.0,11.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,10,12,7,0,7,5,14,1,8,7,13,2,14,2,13,6,0,9,3,6,7,5.0,9.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,7,14,1,5,8,3,7,5,12,2,10,3,14,14,0,6,2,8,5,8,0,8.0,1.0,2.0,1.0,2.0,7.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,5,4,2,11,6,14,5,5,2,7,12,9,8,4,11,6,10,3,2,4,5,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,10,11,7,13,1,4,4,0,11,12,3,7,0,11,11,5,2,7,6,1,7,8.0,1.0,7.0,3.0,2.0,3.0,10.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1,2,6,11,2,12,7,5,2,14,7,8,3,7,1,7,8,2,2,5,2,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,9,14,2,3,9,0,14,1,0,5,4,12,4,3,0,7,3,2,4,0,7,2.0,2.0,7.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,5,2,6,4,1,8,9,0,11,7,2,9,3,4,4,7,1,7,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,0,6,0,4,12,13,5,3,13,13,7,2,6,14,8,6,3,10,4,4,0,7.0,5.0,3.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,6,5,7,10,13,12,3,3,0,2,7,13,3,4,6,5,12,6,4,3,5,6.0,6.0,10.0,8.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,8,3,9,8,11,3,8,2,10,2,7,2,13,13,2,6,6,10,3,5,10,7.0,2.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,8,8,4,4,5,8,13,2,3,14,14,5,6,13,14,5,11,11,5,2,8,4.0,11.0,8.0,9.0,8.0,11.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,1,7,9,0,8,13,0,13,13,5,12,9,13,4,1,6,9,7,4,3,7,6.0,7.0,9.0,2.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,3,11,10,11,8,12,6,0,0,3,0,3,10,6,5,5,0,10,6,0,2,7.0,6.0,0.0,7.0,6.0,8.0,6.0,10.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8,0,14,3,2,1,13,14,3,0,2,8,11,8,13,10,7,6,11,3,7,3,6.0,5.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,7,9,13,6,1,7,3,14,5,2,10,12,8,6,2,6,13,6,3,4,6,7.0,6.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,8,5,7,7,11,14,0,8,8,1,5,3,1,13,14,7,14,5,3,6,5,8.0,5.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,1,14,14,2,3,14,0,7,4,1,9,3,3,2,10,7,8,8,3,4,8,8.0,1.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,6,0,12,4,8,9,2,11,14,14,3,0,7,3,7,6,13,13,6,0,13,3.0,13.0,5.0,13.0,9.0,8.0,10.0,13.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,2,3,10,12,9,1,6,6,0,9,9,9,14,12,8,6,1,13,6,1,1,1.0,3.0,6.0,8.0,6.0,9.0,1.0,9.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,14,3,4,6,14,5,5,5,9,3,12,13,8,13,0,5,13,11,6,3,9,4.0,11.0,5.0,10.0,8.0,11.0,13.0,5.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12,9,14,10,3,11,7,10,3,14,3,0,4,10,9,13,5,2,9,4,2,4,10.0,9.0,8.0,9.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,11,7,0,5,7,9,0,13,3,3,1,13,0,11,6,5,5,10,5,8,0,5.0,2.0,8.0,3.0,6.0,6.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,2,13,6,14,14,12,2,6,14,12,5,6,4,8,3,5,3,5,5,14,9,13.0,5.0,8.0,5.0,6.0,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,3,13,4,11,4,2,12,10,1,1,1,14,9,6,2,5,5,3,4,2,7,3.0,3.0,14.0,4.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7,8,7,1,7,0,13,5,11,0,3,14,0,12,2,14,6,7,14,4,4,14,7.0,2.0,7.0,5.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12,12,3,8,3,12,7,1,4,5,3,14,11,0,13,9,6,3,0,5,12,6,12.0,0.0,6.0,0.0,3.0,8.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,12,1,1,6,10,13,13,2,9,2,13,4,12,1,12,6,2,2,6,13,7,12.0,2.0,6.0,2.0,5.0,6.0,4.0,6.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,1,12,1,8,4,8,5,5,5,2,13,6,5,3,2,6,8,8,3,2,7,3.0,8.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,11,4,9,11,11,3,14,8,7,1,13,0,3,2,2,6,6,9,4,0,9,2.0,8.0,3.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,12,8,8,3,8,4,6,1,14,0,13,10,7,6,2,6,14,6,3,1,8,3.0,6.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,13,9,14,3,14,9,12,8,2,12,3,12,11,1,9,5,14,2,7,0,8,3.0,9.0,3.0,4.0,4.0,2.0,9.0,9.0,9.0,4.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10,10,2,2,4,10,11,4,3,1,6,5,4,9,10,14,7,14,11,3,3,8,7.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9,0,7,3,9,12,9,5,9,13,11,10,5,10,6,11,5,1,11,5,4,0,4.0,5.0,1.0,7.0,6.0,10.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,8,3,4,10,5,10,10,2,3,5,10,8,5,3,5,6,8,10,2,2,9,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,5,13,11,5,0,11,1,3,10,1,12,12,0,14,12,6,7,3,4,1,6,4.0,3.0,14.0,6.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,7,13,1,13,12,11,5,8,8,14,9,12,9,12,0,7,3,1,4,1,1,13.0,5.0,10.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,7,2,11,6,10,5,11,7,2,2,13,10,2,11,13,6,11,10,3,5,10,7.0,8.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,9,7,3,8,7,2,2,6,2,9,1,4,12,12,14,6,12,1,5,4,6,5.0,1.0,8.0,1.0,12.0,8.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,2,10,13,0,14,3,12,14,9,9,6,14,2,3,9,5,14,4,5,0,9,3.0,7.0,5.0,4.0,10.0,8.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,6,14,2,2,10,4,2,4,8,12,14,8,5,6,8,5,12,13,6,4,7,4.0,12.0,6.0,13.0,10.0,13.0,12.0,5.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,5,11,4,5,0,1,14,1,13,14,4,1,7,5,12,5,8,1,6,1,9,1.0,4.0,3.0,1.0,5.0,7.0,5.0,2.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,7,5,8,12,7,13,11,4,3,0,12,11,1,11,14,5,0,3,6,11,9,11.0,4.0,11.0,3.0,6.0,3.0,5.0,3.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,9,9,4,9,14,8,7,12,7,5,2,12,1,1,8,5,11,1,5,2,4,4.0,1.0,9.0,9.0,9.0,4.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,7,11,8,6,4,5,14,5,3,13,11,4,13,8,3,5,7,9,4,5,8,5.0,9.0,7.0,7.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,10,10,2,12,8,13,3,6,1,1,0,5,2,1,6,6,13,5,2,2,5,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,14,13,13,10,4,11,10,0,4,9,6,13,14,7,4,7,8,9,2,2,9,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9,2,10,14,4,1,8,10,8,5,4,13,10,4,12,9,5,9,5,3,4,8,5.0,5.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
